Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
Analog Devices,ADSP-2100,ADSP-2101BG-100,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101BG-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101BG-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101BP-100,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101BP-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101BP-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101BS-100,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101BS-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101BS-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101KG-100,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101KG-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101KG-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101KP-100,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101KP-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101KP-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101KS-100,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101KS-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101KS-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2101TG-50,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2103BP-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2103BS-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2103KP-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2103KS-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2105BP-55,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2105BP-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2105KP-55,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2105KP-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111BG-52,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111BG-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111BG-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111BS-52,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111BS-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111BS-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111KG-52,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111KG-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111KG-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111KS-52,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111KS-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111KS-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2111TG-52,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115BP-100,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115BP-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115BP-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115BS-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115BS-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115BST-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115BST-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115KP-100,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115KP-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115KP-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115KS-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115KS-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115KST-66,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2115KST-80,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2161BP-662,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2161BS-662,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2161KP-662,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2161KS-662,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2162BP-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2162BS-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2162KP-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2162KS-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2163BP-1002,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2163BP-662,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2163BS-1002,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2163BS-662,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2163KP-1002,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2163KP-662,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2163KS-1002,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2163KS-662,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2164BP-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2164BS-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2164KP-40,,,,,DSP
Analog Devices,ADSP-2100,ADSP-2164KS-40,,,,,DSP
