Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus(ext),Address Bus,Bus comments,Frequency(ext),Frequency(internal min),Frequency(internal max/typ),Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data comments,L1 instruction cache,L1 instruction comments,L1 unified cache,L1 unified comments,L2 cache,L2 comments,L3 cache,L3 comments,Empty,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die size,Green,Empty,Empty,Empty,Vcc(core range),Vcc(core typical),Empty,Vcc(secondary),Vcc(tertiary),Empty,Vcc(I/O),I/O compatibility,Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Production type,Clone,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Empty,Empty,Empty,Empty,Empty,Photo front filename 1,Photo front creator 1,Photo front source 1,Photo front copyright 1,Photo front comment 1,Empty,Photo back filename 1,Photo back creator 1,Photo back source 1,Photo back copyright 1,Photo back comment 1,Empty,Photo front filename 2,Photo front creator 2,Photo front source 2,Photo front copyright 2,Photo front comment 2,Empty,Photo back filename 2,Photo back creator 2,Photo back source 2,Photo back copyright 2,Photo back comment 2,Empty,Photo front filename 3,Photo front creator 3,Photo front source 3,Photo front copyright 3,Photo front comment 3,Empty,Photo back filename 3,Photo back creator 3,Photo back source 3,Photo back copyright 3,Photo back comment 3,Empty,Photo front filename 4,Photo front creator 4,Photo front source 4,Photo front copyright 4,Photo front comment 4,Empty,Photo back filename 4,Photo back creator 4,Photo back source 4,Photo back copyright 4,Photo back comment 4,Empty,Die photo filename 1,Die photo creator 1,Die photo source 1,Die photo copyright 1,Die photo comment 1,Empty
BLX IC Design,GS32I,GS32i-400,,,,,,,,,,SoC,,,,,,,,,,,,,,32,,,,,,400MHz,,,,,,,,,,16KiB,,16KiB,,,,,,,,,,,,,,,,,,,PBGA-424,1.9 x 1.9 cm^2,,,,,,,CMOS,,,,,,1.5V - 1.8V,,,,,,3.3V,,,0.7W,,,,,,,,,,,,,,,,,,,,,"PCI 2.2 compliant PCI Controller, Two 10/100 Ethernet controllers, USB, Two asynchronous transceivers, AC97 codec, PCMCIA controller, 100/125 MHz SDRAM controller, EPROM controller ",,,,,no,,,,,,,,,,,,http://www.cpu-world.com/CPUs/GS32I/BLX%20IC%20Design-GS32i-400.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX IC Design,Godson,GSC3280,,,,,,,,,,SoC,GSC3280,,Godson,BLX IC Design,,,,1,7-stage,,,,,32,,14,,,,200-300MHz,,,16x600Mbps,,,,,,,16KiB,,16KiB,,,,,,,,,,,,256MiB,DDR2,,,,,,LFBGA-256,15 x 15 mm^2,,NA,,0.13u,,,CMOS,,,,,,,1.2V,,1.8V (DDR2 RAM),3.3V,,3.3V,,,,,,-40 to 85 C,Industrial,,,,,,,,,,,MIPS,,,,,,"PLL clock generator, ADC, WDT, Ethernet MAC controller, USB2.0 OTG controller, DDR2 controller, NAND Flash controller, SD / SDIO host controller, LCD controller, I2C, I2S, UART, SPI, CAN, PS2, PWM, rotary encoder phase detectors, timers, JTAG",,,,,no,,,,,,,,,,,,http://www.china-cpu.com/products/processor_chip/GSC3280SOC.html,"Datasheet: BLX IC Design, “GSC3280 数据手册; 版本号:1.8”, Sept 2013.  Available from: http://www.china-cpu.com/Downloading/Downl/GSC3280_datasheet_v1.8.pdf [Accessed 10 Oct 2013]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX IC Design,Godson,GSC3281,,,,,,,,,,SoC,GSC3281,,Godson,BLX IC Design,,,,1,7-stage,,,,,32,,14,,,,200-300MHz,,,16x600Mbps,,,,,,,16KiB,,16KiB,,,,,,,,,,,,256MiB,DDR2,,,,,,LFBGA-256,15 x 15 mm^2,,NA,,0.13u,,,CMOS,,,,,,,1.2V,,1.8V (DDR2 RAM),3.3V,,3.3V,,,,,,-40 to 85 C,Industrial,,,,,,,,,,,MIPS,,,,,,"PLL clock generator, ADC, WDT, Ethernet MAC controller, USB2.0 OTG controller, DDR2 controller, NAND Flash controller, I2C, I2S, UART, SPI, PS2, PWM, rotary encoder phase detectors, timers, JTAG",,,,,no,,,,,,,,,,,,http://www.china-cpu.com/products/processor_chip/GSC3281SOC.html,"Datasheet: BLX IC Design, “GSC3281 数据手册; 版本号:1.8”, Sept 2013.  Available from: http://www.china-cpu.com/Downloading/Downl/GSC3281_datasheet_v1.8.pdf [Accessed 10 Oct 2013]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX IC Design,Godson,Godson-1,,,,,,,,,,CPU,,,Godson,BLX IC Design,,,,1,,,,,,32,,,,,,266MHz,,,,,,,,,,8KiB,,8KiB,,,,none,NA,none,NA,,,,,,,,,,,,,,,,,0.18u,,,CMOS,,,,,,,,,,,,,,,<0.5W,,,,,,,,,,,,,,,MIPS,,,,,Integrated,,,,,,no,2002,,,,,,,,,,,http://www.microsofttranslator.com/bv.aspx?from=zh-CHS&to=en&a=http%3A%2F%2Fwww.china-cpu.com%2Fproducts%2Fprocessor_chip%2Fgeneral%2F2013%2F0321%2F309.html,http://www.chipdb.org/img-godson-1-6376.htm,https://en.wikipedia.org/wiki/Loongson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX IC Design,Godson,Godson-1A,,,,,,,,,,CPU,,,Godson,BLX IC Design,,,,,,,,,,,,,,,,300MHz,,,,,,,,,,16KiB,,16KiB,,,,none,NA,none,NA,,,,,,,,,,,,,,,,,0.13u,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIPS,,,,,,,,,,,no,,,,,,,,,,,,https://en.wikipedia.org/wiki/Loongson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX IC Design,Godson,Godson-1B,,,,,,,,,,CPU,,,Godson,BLX IC Design,,,,,,,,,,,,,,,,200MHz,,,,,,,,,,8KiB,,8KiB,,,,none,NA,none,NA,,,,,,,,,,,,,,,,,0.13u,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIPS,,,,,,,,,,,no,2011,,,,,,,,,,,https://en.wikipedia.org/wiki/Loongson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX IC Design,Godson 2,Godson-2B,,,,,,,,,,CPU,,,Godson-2,BLX IC Design,,,,,,,,,,,,,,,,250MHz,,,,,,,,,,32KiB,,32KiB,,,,none,NA,none,NA,,,,,,,,,,,,,,,,,0.18u,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIPS,,,,,Integrated,,,,,,no,2003,,,,,,,,,,,https://en.wikipedia.org/wiki/Loongson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX IC Design,Godson 2,Godson-2C,,,,,,,,,,CPU,,,Godson-2,BLX IC Design,,,,,,,,,,,,,,,,450MHz,,,,,,,,,,64KiB,,64KiB,,,,none,NA,none,NA,,,,,,,,,,,,,,,,,0.18u,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIPS,,,,,Integrated,,,,,,no,2004,,,,,,,,,,,http://commons.wikimedia.org/wiki/File:KL_China_Godson_2C.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX IC Design,Godson 2,Godson-2E,,,,,,,,,,CPU,,,Godson-2,BLX IC Design,,,,,,,,,,,,,,,,667MHz to 1GHz,,,,,,,,,,64KiB,,64KiB,,,,512KiB,,,,,,,,,,,,,,,,,,,,90nm,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIPS,,,,,Integrated,,,,,,no,2006,,,,,,,,,,,http://commons.wikimedia.org/wiki/File:Godson2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX IC Design,Godson 2,Godson-2F,,,,,,,,,,CPU,,,Godson-2,BLX IC Design,,,,,,,,,,64,,,,,,800MHz to 1GHz,,,,,,,,,,64KiB,,64KiB,,,,512KiB,,,,,,,,,,,,,,,,,,,51M,90nm,,,CMOS,,,,,,,,,,,,,,,<5W,,,,,,,,,,,,,,,MIPS,,,,,Integrated,"DDR2, PCI/PCIX controllers",,,,,no,2007,,,,,,,,,,,http://www.microsofttranslator.com/bv.aspx?from=zh-CHS&to=en&a=http%3A%2F%2Fwww.china-cpu.com%2Fproducts%2Fprocessor_chip%2Fgeneral%2F2013%2F0321%2F310.html,http://www.theregister.co.uk/2011/02/25/ict_godson_3b_chip/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
