Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Architecture,Data Bus (ext),Address Bus,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
CMD,65SC150,G65SC151PEI-1,,,,,,,,,MCU,,,G65SC00,,,,,1,8,8,16,,1MHz,1MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,2KiB,,64B,65KiB,,,,,,,PLCC-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,1.5mW,,,,,Low power mode,,,,,,,,,,,,,,,none,"clock generator, 16-bit counter/timer, interrupt, dual sine wave generator",,,,,,,,telecommunication,,,,,,,,,"Datasheet: California Micro Devices, “G65SC151 ADV-CMOS Communications Terminal Unit (Telecommunication Microcomputer)”, C1040500, 2000",,,,,,,
CMD,65SC150,G65SC151PEI-2,,,,,,,,,MCU,,,G65SC00,,,,,1,8,8,16,,2MHz,2MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,2KiB,,64B,65KiB,,,,,,,PLCC-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,1.5mW,,,,,Low power mode,,,,,,,,,,,,,,,none,"clock generator, 16-bit counter/timer, interrupt, dual sine wave generator",,,,,,,,telecommunication,,,,,,,,,"Datasheet: California Micro Devices, “G65SC151 ADV-CMOS Communications Terminal Unit (Telecommunication Microcomputer)”, C1040500, 2000",,,,,,,
CMD,65SC150,G65SC150PEI-1,,,,,,,,,MCU,,,G65SC00,,,,,1,8,8,16,,1MHz,1MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,2KiB,,64B,65KiB,,,,,,,PLCC-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,1.5mW,20mW,,,-40 - 85C,Low power mode,,,,,,,,,,,,,,,none,"clock generator, 16-bit counter/timer, interrupt, dual sine wave generator",,,,,,,,telecommunication,,,,,,,,,"Datasheet: California Micro Devices, “G65SC150 CMOS Communications Terminal Unit (Telecommunication Microcomputer)”, C1070500, 2000",,,,,,,
CMD,65SC150,G65SC150PEI-2,,,,,,,,,MCU,,,G65SC00,,,,,1,8,8,16,,2MHz,2MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,2KiB,,64B,65KiB,,,,,,,PLCC-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,1.5mW,40mW,,,-40 - 85C,Low power mode,,,,,,,,,,,,,,,none,"clock generator, 16-bit counter/timer, interrupt, dual sine wave generator",,,,,,,,telecommunication,,,,,,,,,"Datasheet: California Micro Devices, “G65SC150 CMOS Communications Terminal Unit (Telecommunication Microcomputer)”, C1070500, 2000",,,,,,,
CMD,65C816,G65SC816PI-5,,,,,,,,,CPU,,,65SC816,,,,,1,16,16,24,,5MHz,5MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,,,,,,CMOS,,,,,,,,,,,,,,,,,-40 - 85C,,,,,,,,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: California Micro Devices, “G65SC816 CMOS 8/16 MICROPROCESSOR FAMILY”, 1996",,,,,,,
CMD,65C816,G65SC816PI-6,,,,,,,,,CPU,,,65SC816,,,,,1,16,16,24,,6MHz,6MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,,,,,,CMOS,,,,,,,,,,,,,,,,,-40 - 85C,,,,,,,,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,http://www.americanmicrosemi.com/information/spec/?ss_pn=G65SC816PI6,,,,,,,
CMD,65C816,G65SC816PEI-5,,,,,,,,,CPU,,,65SC816,,,,,1,16,16,24,,5MHz,5MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,,,,,,CMOS,,,,,,,,,,,,,,,,,-40 - 85C,,,,,,,,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: California Micro Devices, “G65SC816 CMOS 8/16 MICROPROCESSOR FAMILY”, 1996",,,,,,,
CMD,65C816,G65SC816PEI-6,,,,,,,,,CPU,,,65SC816,,,,,1,16,16,24,,6MHz,6MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,,,,,,CMOS,,,,,,,,,,,,,,,,,-40 - 85C,,,,,,,,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,http://www.americanmicrosemi.com/information/spec/?ss_pn=G65SC816PEI6,,,,,,,
CMD,,C65SC02-AC-1,,,,,,,,,CPU,,,65SC02,,,,,1,8,8,16,,1MHz,1MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,65KiB,,,,,,,,,,,,,,,CMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,50uW (standby),20mW,,,0-70C,,,,,,,,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,http://www.chipdocs.com/datasheets/datasheet-pdf/California-Micro-Devices/C65.html,"Datasheet: California Micro Devices, “CMOS G65SC02-A 8-BIT MICROPROCESSOR”, C0760400, 2000",,,,,,
CMD,,C65SC02-AC-2,,,,,,,,,CPU,,,65SC02,,,,,1,8,8,16,,2MHz,2MHz,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,65KiB,,,,,,,,,,,,,,,CMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,50uW (standby),40mW,,,0-70C,,,,,,,,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,http://www.chipdocs.com/datasheets/datasheet-pdf/California-Micro-Devices/C65.html,"Datasheet: California Micro Devices, “CMOS G65SC02-A 8-BIT MICROPROCESSOR”, C0760400, 2000",,,,,,
