Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Bus comments,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc(core range),Vcc(core typical),Empty,Vcc(secondary),Vcc(tertiary),Empty,Vcc(I/O),I/O compatibility,Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Production type,Clone,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Empty,Empty,Empty,Empty,Empty,Photo front filename 1,Photo front copyright 1,Photo front comment 1,Empty,Photo back filename 1,Photo back copyright 1,Photo back comment 1,Empty,Photo front filename 2,Photo front copyright 2,Photo front comment 2,Empty,Photo back filename 2,Photo back copyright 2,Photo back comment 2,Empty,Photo front filename 3,Photo front copyright 3,Photo front comment 3,Empty,Photo back filename 3,Photo back copyright 3,Photo back comment 3,Empty,Photo front filename 4,Photo front copyright 4,Photo front comment 4,Empty,Photo back filename 4,Photo back copyright 4,Photo back comment 4,Empty,Die photo 1,Die photo copyright 1,Die photo comment 1,Empty
CSG,65xx,8500,,,,,,,,,,CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpucollection.ca/CSG650x.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,65xx,4510R3,,,,,,,,,,,,,65EC02,,,,,1,,,,,,8,8,20,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,,,,1MiB,,,,,,,PLCC-84,,,PLCC-84,,2um,2,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,65CE02,,,,,,,,,none,"timer, RTC, UART, interrupt controller",,,,,,,,,,,,,,,,,http://www.devili.iki.fi/Computers/Commodore/C65/System_Specification/Chapter_2/page25.html#2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,65xx,4510R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,65xx,6502AD,,,,,,,,,,CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.chipdb.org/img3572.search.htm,http://www.cpucollection.ca/CSG650x.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,65xx,6510CBM,,,,,,,,,,CPU,,,6510,,,,,,,,,,,,,,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/650x/CSG-6510CBM.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,65xx,65CE02-10,,,,,,,,,,CPU,,,65EC02,,,,,1,,,,,,8,8,16,,,,10MHz,10MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,DIP-40,,2um,2,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,,,,0-70C,,,,,,,,65CE02,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “CMOS 65CE02 MICROPROCESSOR”, Preliminary, November 1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,65xx,65CE02-2,,,,,,,,,,CPU,,,65EC02,,,,,1,,,,,,8,8,16,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,DIP-40,,2um,2,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,,,,0-70C,,,,,,,,65CE02,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “CMOS 65CE02 MICROPROCESSOR”, Preliminary, November 1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,65xx,65CE02-4,,,,,,,,,,CPU,,,65EC02,,,,,1,,,,,,8,8,16,,,,4MHz,4MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,DIP-40,,2um,2,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,,,,0-70C,,,,,,,,65CE02,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “CMOS 65CE02 MICROPROCESSOR”, Preliminary, November 1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,65xx,65CE02-6,,,,,,,,,,CPU,,,65EC02,,,,,1,,,,,,8,8,16,,,,6MHz,6MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,DIP-40,,2um,2,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,,,,0-70C,,,,,,,,65CE02,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “CMOS 65CE02 MICROPROCESSOR”, Preliminary, November 1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSG,65xx,65CE02-8,,,,,,,,,,CPU,,,65EC02,,,,,1,,,,,,8,8,16,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,DIP-40,,2um,2,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,,,,0-70C,,,,,,,,65CE02,,,,,,,,,none,"Clock generator, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “CMOS 65CE02 MICROPROCESSOR”, Preliminary, November 1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
