Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Bus comments,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc(core range),Vcc(core typical),Empty,Vcc(secondary),Vcc(tertiary),Empty,Vcc(I/O),I/O compatibility,Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Production type,Clone,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Empty,Empty,Empty,Empty,Empty,Photo front filename 1,Photo front copyright 1,Photo front comment 1,Empty,Photo back filename 1,Photo back copyright 1,Photo back comment 1,Empty,Photo front filename 2,Photo front copyright 2,Photo front comment 2,Empty,Photo back filename 2,Photo back copyright 2,Photo back comment 2,Empty,Photo front filename 3,Photo front copyright 3,Photo front comment 3,Empty,Photo back filename 3,Photo back copyright 3,Photo back comment 3,Empty,Photo front filename 4,Photo front copyright 4,Photo front comment 4,Empty,Photo back filename 4,Photo back copyright 4,Photo back comment 4,Empty,Die photo 1,Die photo copyright 1,Die photo comment 1,Empty
Chips and Technology,386,J38600DX-33,,,,,,,,,,CPU,386DX,,,,,,,1,,,,,,32,32,32,,,,33MHz,33MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4GiB,,,,,,,,CPGA-132,,,,,,,,,,,,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ext 387,,,,,,,,,,no,,,,,,,,http://www.cpushack.com/chippics/CHIPS/CHIPSSuper386-33.html,http://www.cpu-collection.de/?tn=0&l0=co&l1=Chips%20and%20Technologies&l2=386+DX,http://www.cpu-world.com/CPUs/80386/Chips-J38600DX-33.html,http://cpu-sammlung.de/collection.html#Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and Technology,386,J38600DX-25,,,,,,,,,,CPU,386DX,,,,,,,1,,,,,,32,32,32,,,,25MHz,25MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4GiB,,,,,,,,CPGA-132,,,,,,,,,,,,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ext 387,,,,,,,,,,no,,,,,,,,http://www.cpu-world.com/CPUs/80386/Chips-J38600DX-25.html,http://cpu-sammlung.de/collection.html#Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and Technology,386,J38700DX-16,,,,,,,,,,FPU,387DX,,,,,,,,,,,,,,,,,,,16MHz,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,CPGA-68,,,,,,,CMOS,,,,,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,no,,,,,,,,http://www.datasheetarchive.com/shortform-datasheet/J38700DX16.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and Technology,386,J38700DX-20,,,,,,,,,,FPU,387DX,,,,,,,,,,,,,,,,,,,20MHz,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,CPGA-68,,,,,,,CMOS,,,,,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,no,,,,,,,,http://www.datasheetarchive.com/shortform-datasheet/J38700DX20.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and Technology,386,J38700DX A 33,,,,,,,,,,FPU,387DX,,,,,,,,,,,,,,,,,,,33MHz,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,CPGA-68,,,,,,,CMOS,,,,,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,no,,,,,,,,http://www.cpu-world.com/CPUs/80387/Chips-J38700DX.html,http://www.datasheetarchive.com/shortform-datasheet/J38700DX33.html,http://www.cpu-collection.de/?tn=0&l0=co&l1=Chips%20and%20Technologies&l2=FPU,http://cpu-sammlung.de/collection.html#Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and Technology,386,J38700DX B 40,,,,,,,,,,FPU,387DX,,,,,,,,,,,,,,,,,,,40MHz,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,CPGA-68,,,,,,,CMOS,,,,,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,no,,,,,,,,http://www.cpu-world.com/CPUs/80387/Chips-J38700DX-40.html,http://www.datasheetarchive.com/shortform-datasheet/J38700DX40.html,http://cpu-sammlung.de/collection.html#Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and Technology,386,J38700DX B 33,,,,,,,,,,FPU,387DX,,,,,,,,,,,,,,,,,,,33MHz,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,CPGA-68,,,,,,,,,,,,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,no,,,,,,,,http://cpu-sammlung.de/collection.html#Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and Technology,386,J38700DX 25,,,,,,,,,,FPU,387DX,,,,,,,,,,,,,,,,,,,25MHz,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,CPGA-68,,,,,,,CMOS,,,,,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,no,,,,,,,,http://www.datasheetarchive.com/shortform-datasheet/J38700DX25.html,http://cpu-sammlung.de/collection.html#Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and Technology,386,J38700DX B 25,,,,,,,,,,FPU,387DX,,,,,,,,,,,,,,,,,,,25MHz,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,CPGA-68,,,,,,,,,,,,,,5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,no,,,,,,,,http://cpu-sammlung.de/collection.html#Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips and Technology,386,P38700SX A 25,,,,,,,,,,FPU,387SX,,,,,,,,,,,,,,,,,,,25MHz,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,CPGA-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,no,,,,,,,,http://cpu-sammlung.de/collection.html#Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
