Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
Cyrix,486,Cx486DLC-33GP ,,,,,CPU
Cyrix,486,Cx486DLC-40GP ,,,,,CPU
Cyrix,486,Cx486DRx²25/50GP ,,,,,CPU
Cyrix,486,Cx486DRx²33/66GP ,,,,,CPU
Cyrix,486,Cx486DX-33GP ,,,,,CPU
Cyrix,486,Cx486DX-40,,,,,CPU
Cyrix,486,Cx486DX-40,,,,,CPU
Cyrix,486,Cx486DX-40,,,,,CPU
Cyrix,486,Cx486DX-40GP ,,,,,CPU
Cyrix,486,Cx486DX-V33QP ,,,,,CPU
Cyrix,486,Cx486DX2-50,,,,,CPU
Cyrix,486,Cx486DX2-50,,,,,CPU
Cyrix,486,Cx486DX2-50GP ,,,,,CPU
Cyrix,486,Cx486DX2-66,,,,,CPU
Cyrix,486,Cx486DX2-66GP ,,,,,CPU
Cyrix,486,Cx486DX2-80,,,,,CPU
Cyrix,486,Cx486DX2-V66GP ,,,,,CPU
Cyrix,486,Cx486DX2-V80GP ,,,,,CPU
Cyrix,486,Cx486DX4-100GP ,,,,,CPU
Cyrix,486,Cx486DX4-100GP4 ,,,,,CPU
Cyrix,486,Cx486S-33GP ,,,,,CPU
Cyrix,486,Cx486S-40,,,,,CPU
Cyrix,486,Cx486S-40GP ,,,,,CPU
Cyrix,486,Cx486SLC/e-33MP ,,,,,CPU
Cyrix,486,Cx486SLC/e-V25MP ,,,,,CPU
Cyrix,5x86,5x86,,,,,CPU
Cyrix,5x86,5x86-100GP,,,,,CPU
Cyrix,5x86,5x86-100GP,,,,,CPU
Cyrix,5x86,5x86-100QP,,,,,CPU
Cyrix,5x86,5x86-100QP ,,,,,CPU
Cyrix,5x86,5x86-120GP,,,,,CPU
Cyrix,5x86,5x86-120GP ,,,,,CPU
Cyrix,5x86,5x86-120QP,,,,,CPU
Cyrix,5x86,5x86-80GP,,,,,CPU
Cyrix,6x86,6x86-P150+GP,,,,,CPU
Cyrix,6x86,6x86-P150+GP ,,,,,CPU
Cyrix,6x86,6x86-P166+GP ,,,,,CPU
Cyrix,6x86,6x86-PR166+GP ,,,,,CPU
Cyrix,6x86,6x86L-P150+GP ,,,,,CPU
Cyrix,6x86,6x86L-P166+GP,6x86L-PR166+GP,,,,CPU
Cyrix,6x86,6x86L-P200+GP,6x86L-PR200+GP,,,,CPU
Cyrix,6x86,6x86L-PR166+GP ,,,,,CPU
Cyrix,6x86,6x86L-PR200+GP,,,,,CPU
Cyrix,6x86,6x86L-PR200+GP ,,,,,CPU
Cyrix,6x86,6x86MX-PR166 ,,,,,CPU
Cyrix,6x86,6x86MX-PR200,,,,,CPU
Cyrix,6x86,6x86MX-PR200,,,,,CPU
Cyrix,6x86,6x86MX-PR233 ,,,,,CPU
Cyrix,MediaGX,Gx86 GX-133BP ,,,,,CPU
Cyrix,MediaGX,MediaGX GX-120BP ,,,,,CPU
Cyrix,MediaGX,MediaGX GX-133BP ,,,,,CPU
Cyrix,MediaGX,MediaGX GX-150BP ,,,,,CPU
Cyrix,MediaGX,MediaGX GXI-166BP ,,,,,CPU
Cyrix,MediaGX,MediaGX GXI-180BP ,,,,,CPU
Cyrix,MediaGX,MediaGX GXm-180GP ,,,,,CPU
Cyrix,MediaGX,MediaGX GXm-200GP ,,,,,CPU
Cyrix,MediaGX,MediaGX GXm-233BP ,,,,,CPU
Cyrix,MediaGX,MediaGX GXm-233GP ,,,,,CPU
Cyrix,MediaGX,MediaGX GXm-266BP ,,,,,CPU
Cyrix,MediaGX,MediaGX GXm-266GP,,,,,CPU
Cyrix,MII,M II-233GP,,,,,CPU
Cyrix,MII,M II-266GP,,,,,CPU
Cyrix,MII,M II-300GP,,,,,CPU
Cyrix,MII,M II-300GP,,,,,CPU
Cyrix,MII,M II-300GP,,,,,CPU
Cyrix,MII,M II-333GP,,,,,CPU
Cyrix,MII,M II-333GP,,,,,CPU
Cyrix,MII,M II-333GP,,,,,CPU
Cyrix,MII,M II-366GP,,,,,CPU
Cyrix,MII,M II-400GP,,,,,CPU
Cyrix,Mxi,MXi-133MHz,,,,,CPU
Cyrix,Mxi,Mxi-233MHz,,,,,CPU
