Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
DEC,Alpha,21-35023-12 (EV4),,,,,,,,,,CPU,,21064,EV4,,Alpha AXP,,,1,,,,,,64,64/128,,,,,,,,,2 – 8,,,,,,8KiB,,8KiB,,,,,,,,,,,,16GiB,,,,,,,CPGA-431,6.17 x 6.17 cm^2,,,1.7M,0.75um,,,CMOS,,,,,,3.135-3.465V,3.3V,,,,,3.3V,,,,,90C,,,,,,,,,,,,,,,,,Integrated,"Clock generator, MMU, Error checking unit",,,,,,November 1992,,,,,,,,,,,http://www.cpu-world.com/CPUs/21064/DEC-21-35023-12.html,,,,,,,
DEC,Alpha,21-35023-12 (EV4S),,,,,,,,,,CPU,,21064,EV4S,,Alpha AXP,,,1,,,,,,64,64/128,,,,,,,,,2 – 8,,,,,,8KiB,,8KiB,,,,,,,,,,,,16GiB,,,,,,,CPGA-431,6.17 x 6.17 cm^2,,,1.7M,0.675um,,,CMOS,,,,,,3.135-3.465V,3.3V,,,,,3.3V,,,,,90C,,,,,,,,,,,,,,,,,Integrated,"Clock generator, MMU, Error checking unit",,,,,,November 1992,,,,,,,,,,,http://www.cpu-world.com/CPUs/21064/DEC-21-35023-12.html,,,,,,,
DEC,Alpha,21-35023-13 (EV4),21064-AA (EV4),,,,,,,,,CPU,,21064,EV4,,Alpha AXP,,,1,,,,,,64,64/128,,,,,150MHz,18.75 - 75 MHz,,,2 – 8,,,,,,8KiB,,8KiB,,,,,,,,,,,,16GiB,,,,,,,CPGA-431,6.17 x 6.17 cm^2,,,1.7M,0.75um,,,CMOS,,,,,,3.135-3.465V,3.3V,,,,,3.3V,,,20.3W,,90C,,,,,,,,,,,,,,,,,Integrated,"Clock generator, MMU, Error checking unit",,,,,,November 1992,,,,,,,,,,,http://www.cpu-world.com/CPUs/21064/DEC-21-35023-13%20%2821064-AA%29.html,,,,,,,
DEC,Alpha,21-35023-13 (EV4S),21064-AA (EV4S),,,,,,,,,CPU,,21064,EV4S,,Alpha AXP,,,1,,,,,,64,64/128,,,,,150MHz,18.75 - 75 MHz,,,2 – 8,,,,,,8KiB,,8KiB,,,,,,,,,,,,16GiB,,,,,,,CPGA-431,6.17 x 6.17 cm^2,,,1.7M,0.675um,,,CMOS,,,,,,3.135-3.465V,3.3V,,,,,3.3V,,,20.3W,,90C,,,,,,,,,,,,,,,,,Integrated,"Clock generator, MMU, Error checking unit",,,,,,November 1992,,,,,,,,,,,http://www.cpu-world.com/CPUs/21064/DEC-21-35023-13%20%2821064-AA%29.html,,,,,,,
DEC,Alpha,21-35023-14 (EV4),21064-CA (EV4),,,,,,,,,CPU,,21064,EV4,,Alpha AXP,,,1,,,,,,64,64/128,,,,,166MHz,20.75 - 83 MHz,,,2 – 8,,,,,,8KiB,,8KiB,,,,,,,,,,,,16GiB,,,,,,,CPGA-431,6.17 x 6.17 cm^2,,,1.7M,0.75um,,,CMOS,,,,,,3.135-3.465V,3.3V,,,,,3.3V,,,22.32W,,90C,,,,,,,,,,,,,,,,,Integrated,"Clock generator, MMU, Error checking unit",,,,,,November 1992,,,,,,,,,,,http://www.cpu-world.com/CPUs/21064/DEC-21-35023-14%20%2821064-CA%20166%29.html,,,,,,,
DEC,Alpha,21-35023-14 (EV4S),21064-CA (EV4S),,,,,,,,,CPU,,21064,EV4S,,Alpha AXP,,,1,,,,,,64,64/128,,,,,166MHz,20.75 - 83 MHz,,,2 – 8,,,,,,8KiB,,8KiB,,,,,,,,,,,,16GiB,,,,,,,CPGA-431,6.17 x 6.17 cm^2,,,1.7M,0.675um,,,CMOS,,,,,,3.135-3.465V,3.3V,,,,,3.3V,,,22.32W,,90C,,,,,,,,,,,,,,,,,Integrated,"Clock generator, MMU, Error checking unit",,,,,,November 1992,,,,,,,,,,,http://www.cpu-world.com/CPUs/21064/DEC-21-35023-14%20%2821064-CA%20166%29.html,,,,,,,
DEC,Alpha,21-35023-19 (EV4),21064-AA (EV4),,,,,,,,,CPU,,21064,EV4,,Alpha AXP,,,1,,,,,,64,64/128,,,,,150MHz,18.75 - 75 MHz,,,2 – 8,,,,,,8KiB,,8KiB,,,,,,,,,,,,16GiB,,,,,,,CPGA-431,6.17 x 6.17 cm^2,,,1.7M,0.75um,,,CMOS,,,,,,3.135-3.465V,3.3V,,,,,3.3V,,,20.3W,,90C,,,,,,,,,,,,,,,,,Integrated,"Clock generator, MMU, Error checking unit",,,,,,November 1992,,,,,,,,,,,http://www.cpu-world.com/CPUs/21064/DEC-21-35023-19%20%2821064-AA%20150%29.html,,,,,,,
DEC,Alpha,21-35023-19 (EV4S),21064-AA (EV4S),,,,,,,,,CPU,,21064,EV4S,,Alpha AXP,,,1,,,,,,64,64/128,,,,,150MHz,18.75 - 75 MHz,,,2 – 8,,,,,,8KiB,,8KiB,,,,,,,,,,,,16GiB,,,,,,,CPGA-431,6.17 x 6.17 cm^2,,,1.7M,0.675um,,,CMOS,,,,,,3.135-3.465V,3.3V,,,,,3.3V,,,20.3W,,90C,,,,,,,,,,,,,,,,,Integrated,"Clock generator, MMU, Error checking unit",,,,,,November 1992,,,,,,,,,,,http://www.cpu-world.com/CPUs/21064/DEC-21-35023-19%20%2821064-AA%20150%29.html,,,,,,,
DEC,Alpha,21-35023-21,,,,,,,,,,CPU,,21064,EV4S,,Alpha AXP,,,1,,,,,,64,64/128,,,,,200MHz,25 - 100 MHz,,,2 – 8,,,,,,8KiB,,8KiB,,,,,,,,,,,,16GiB,,,,,,,CPGA-431,6.17 x 6.17 cm^2,,,,0.675um,,,CMOS,,,,,,3.135-3.465V,3.3V,,,,,3.3V,,,26.6W,,90C,,,,,,,,,,,,,,,,,Integrated,"Clock generator, MMU, Error checking unit",,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/21064/DEC-21-35023-21.html,,,,,,,
DEC,Alpha,21-37430-01,21066-AA,,,,,,,,,CPU,21066,,,,,,,,,,,,,,,,,,,166MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/info/DEC-parts.html,,,,,,,
