Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
HP,HP-RISC,PA-7000 ,,,,,CPU
HP,HP-RISC,PA-7100 ,,,,,CPU
HP,HP-RISC,PA-7100LC,,,,,CPU
HP,HP-RISC,PA-7150 ,,,,,CPU
HP,HP-RISC,PA-7150LC ,,,,,CPU
HP,HP-RISC,PA-7200 ,,,,,CPU
HP,HP-RISC,PA-7300LC ,,,,,CPU
HP,HP-RISC,PA-8000 ,,,,,CPU
HP,HP-RISC,PA-8200 ,,,,,CPU
HP,HP-RISC,PA-8500 ,,,,,CPU
HP,HP-RISC,PA-8600 ,,,,,CPU
HP,HP-RISC,PA-8700 ,,,,,CPU
HP,HP-RISC,PA-8800 ,,,,,CPU
HP,HP-RISC,PA-8900 ,,,,,CPU
