Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Harris,286,CG80C286-12,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,DC,12.5MHz,12.5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,CPGA-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,1.1W,,0 - 70C,,,,,,,,x86-16,,,,x86,,,,,Ext 80287,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Harris-CG80C286-12.html,"Datasheet: Intersil, “80C286 High Performance Microprocessor with Memory Management and Protection”, FN2947.3, January 28, 2008",,,,,,
Harris,286,CG80C286-16,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,DC,16MHz,16MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,CPGA-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,1.3W,,0 - 70C,,,,,,,,x86-16,,,,x86,,,,,Ext 80287,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Harris-CG80C286-16.html,"Datasheet: Intersil, “80C286 High Performance Microprocessor with Memory Management and Protection”, FN2947.3, January 28, 2008",,,,,,
Harris,286,CS80C286-12,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,DC,12.5MHz,12.5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,PLCC-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,1.1W,,0 - 70C,,,,,,,,x86-16,,,,x86,,,,,Ext 80287,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Harris-CS80C286-12.html,"Datasheet: Intersil, “80C286 High Performance Microprocessor with Memory Management and Protection”, FN2947.3, January 28, 2008",,,,,,
Harris,286,CS80C286-16,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,DC,16MHz,16MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,PLCC-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,1.3W,,0 - 70C,,,,,,,,x86-16,,,,x86,,,,,Ext 80287,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Harris-CS80C286-16.html,"Datasheet: Intersil, “80C286 High Performance Microprocessor with Memory Management and Protection”, FN2947.3, January 28, 2008",,,,,,
Harris,286,CS80C286-20,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,DC,20MHz,20MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,PLCC-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,1.55W,,0 - 70C,,,,,,,,x86-16,,,,x86,,,,,Ext 80287,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Harris-CS80C286-20.html,"Datasheet: Intersil, “80C286 High Performance Microprocessor with Memory Management and Protection”, FN2947.3, January 28, 2008",,,,,,
Harris,286,CS80C286-25,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,DC,25MHz,25MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,PLCC-68,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,2.05W,,0 - 70C,,,,,,,,x86-16,,,,x86,,,,,Ext 80287,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Harris-CS80C286-25.html,"Datasheet: Intersil, “80C286 High Performance Microprocessor with Memory Management and Protection”, FN2947.3, January 28, 2008",,,,,,
Harris,1802,CDP1802ACD,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,3.2MHz,3.2MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,CMOS,,,,,,4-6.5V,,,,,,,,10mW,20mW,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802ACD.html,"Datasheet: Intersil, “CDP1802A, CDP1802AC, CDP1802BC CMOS 8-Bit Microprocessors”, File Number 1305.2, March 1997",,,,,,
Harris,1802,CDP1802ACDX,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,3.2MHz,3.2MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,CMOS,,,,,,4-6.5V,,,,,,,,10mW,20mW,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802ACDX.html,"Datasheet: Intersil, “CDP1802A, CDP1802AC, CDP1802BC CMOS 8-Bit Microprocessors”, File Number 1305.2, March 1997",,,,,,
Harris,1802,CDP1802ACE,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,3.2MHz,3.2MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4-6.5V,,,,,,,,10mW,20mW,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802ACE.html,"Datasheet: Intersil, “CDP1802A, CDP1802AC, CDP1802BC CMOS 8-Bit Microprocessors”, File Number 1305.2, March 1997",,,,,,
Harris,1802,CDP1802ACEX,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,8,,,DC,3.2MHz,3.2MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,none,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4-6.5V,,,,,,,,10mW,20mW,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/1802/Harris-CDP1802ACEX.html,"Datasheet: Intersil, “CDP1802A, CDP1802AC, CDP1802BC CMOS 8-Bit Microprocessors”, File Number 1305.2, March 1997",,,,,,
