Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Hitachi,6309,HD63B09P,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,2MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,,,-20 - 75C,,,,,,,,,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,"Datasheet: Hitachi, “HD63B09, HD63C09 CMOS Microprocessing Unit (MPU)”, January 1999, http://www.alldatasheet.com/datasheet-pdf/pdf/87218/HITACHI/HD63B09.html Accessed 09 Dec 2012",,,,,,,
Hitachi,6309,HD63C09EP,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,0.5MHz,3MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,,,-20 - 75C,,,,,,,,,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,"Datasheet: Hitachi, “HD63B09E, HD63C09E CMOS MPU (Micro Processing Unit)”, pg 277-313, http://www.alldatasheet.com/datasheet-pdf/pdf/87219/HITACHI/HD63C09.html Accessed 09 Dec 2012",,,,,,,
Hitachi,6309,HD63C09P,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,0.5MHz,3MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,,,-20 - 75C,,,,,,,,,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,"Datasheet: Hitachi, “HD63B09, HD63C09 CMOS Microprocessing Unit (MPU)”, January 1999, http://www.alldatasheet.com/datasheet-pdf/pdf/87218/HITACHI/HD63B09.html Accessed 09 Dec 2012",,,,,,,
Hitachi,6800,HD6800,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,1MHz,1MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,MA,NA,64KiB,,NA,,,,,side-brazed CDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,0.5W,1W,,-20 - 75C,,,,,,,,6800,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6800/Hitachi-HD6800.html,,,,,,,
Hitachi,6800,HD6800P,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,1MHz,1MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,MA,NA,64KiB,,NA,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,0.5W,1W,,-20 - 75C,,,,,,,,6800,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6800/Hitachi-HD6800P.html,,,,,,,
Hitachi,6800,HD6800PJ,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,1MHz,1MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,MA,NA,64KiB,,NA,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,0.5W,1W,,-40 - 85C,,,,,,,,6800,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6800/Hitachi-HD6800PJ.html,,,,,,,
Hitachi,6800,HD68A00,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,1.5MHz,1.5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,MA,NA,64KiB,,NA,,,,,side-brazed CDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,0.5W,1W,,-20 - 75C,,,,,,,,6800,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6800/Hitachi-HD68A00.html,,,,,,,
Hitachi,6800,HD68A00P,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,1.5MHz,1.5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,MA,NA,64KiB,,NA,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,0.5W,1W,,-20 - 75C,,,,,,,,6800,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6800/Hitachi-HD68A00P.html,,,,,,,
Hitachi,6800,HD68B00,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,2MHz,2MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,MA,NA,64KiB,,NA,,,,,side-brazed CDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,0.5W,1W,,-20 - 75C,,,,,,,,6800,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6800/Hitachi-HD68B00.html,,,,,,,
Hitachi,6800,HD68B00P,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,2MHz,2MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,MA,NA,64KiB,,NA,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,0.5W,1W,,-20 - 75C,,,,,,,,6800,,,,6800,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6800/Hitachi-HD68B00P.html,,,,,,,
