Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
IDT,WinChip C6,C6-DS180GAEM,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,180MHz,60MHz,,,3,,5-stage with additional instruction translation stage,,,,32KiB,2-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,4GiB,,,,,,,Staggered CPGA-296,,,Socket 7,5.4M,0.35um,4,,CMOS,88mm^2,,,,,3.45-3.6V,,,,,3.52V,,3.5W (stop clock mode),,11.5W,,0 - 60C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,,13 Oct 1997,$90,,,,,,,,,,http://www.cpu-world.com/CPUs/WinchipC6/IDT-C6-DS180GAEM.html,,,,,,,
IDT,WinChip C6,C6-DS200GAEM,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,200MHz,66MHz,,,3,,5-stage with additional instruction translation stage,,,,32KiB,2-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,4GiB,,,,,,,Staggered CPGA-296,,,Socket 7,5.4M,0.35um,4,,CMOS,88mm^2,,,,,3.45-3.6V,,,,,3.52V,,3.5W (stop clock mode),,13W,,0 - 60C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,,13 Oct 1997,$135,,,,,,,,,,http://www.cpu-world.com/CPUs/WinchipC6/IDT-C6-DS200GAEM.html,,,,,,,
IDT,WinChip C6,C6-PS180GAFM,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,180MHz,60MHz,,,3,,5-stage with additional instruction translation stage,,,,32KiB,2-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,4GiB,,,,,,,Staggered CPGA-296,,,Socket 7,5.4M,0.35um,4,,CMOS,88mm^2,,,,,3.45-3.6V,,,,,3.52V,,3.5W (stop clock mode),,9.5W,,0 - 60C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,,13 Oct 1997,$90,,,,,,,,,,http://www.cpu-world.com/CPUs/WinchipC6/IDT-C6-PS180GAFM.html,,,,,,,
IDT,WinChip C6,C6-PSME180GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,180MHz,60MHz,,,3,,5-stage with additional instruction translation stage,,,,32KiB,2-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,4GiB,,,,,,,Staggered CPGA-296,,,Socket 7,5.4M,0.35um,4,,CMOS,88mm^2,,,,,3.45-3.6V,,,,,3.52V,,3.5W (stop clock mode),,11.5W,,0 - 60C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,,13 Oct 1997,$90,,,,,,,,,,http://www.cpu-world.com/CPUs/WinchipC6/IDT-C6-PSME180GA.html,,,,,,,
IDT,WinChip C6,C6-PSME200GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,200MHz,66MHz,,,3,,5-stage with additional instruction translation stage,,,,32KiB,2-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,4GiB,,,,,,,Staggered CPGA-296,,,Socket 7,5.4M,0.35um,4,,CMOS,88mm^2,,,,,3.45-3.6V,,,,,3.52V,,3.5W (stop clock mode),,13W,,0 - 60C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,,13 Oct 1997,$135,,,,,,,,,,http://www.cpu-world.com/CPUs/WinchipC6/IDT-C6-PSME200GA.html,http://www.happytrees.org/chips?page=chip&manufacturer=IDT&part=C6_PSME200GA,,,,,,
IDT,WinChip C6,C6-PSME225GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,225MHz,75MHz,,,3,,5-stage with additional instruction translation stage,,,,32KiB,2-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,4GiB,,,,,,,Staggered CPGA-296,,,Socket 7,5.4M,0.35um,4,,CMOS,88mm^2,,,,,3.45-3.6V,,,,,3.52V,,3.5W (stop clock mode),,14.8W,,0 - 60C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/WinchipC6/IDT-C6-PSME225GA.html,,,,,,,
IDT,WinChip C6,C6-PSME240GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,240MHz,60MHz,,,4,,5-stage with additional instruction translation stage,,,,32KiB,2-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,4GiB,,,,,,,Staggered CPGA-296,,,Socket 7,5.4M,0.35um,4,,CMOS,88mm^2,,,,,3.45-3.6V,,,,,3.52V,,3.5W (stop clock mode),,15.8W,,0 - 60C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/WinchipC6/IDT-C6-PSME240GA.html,,,,,,,
IDT,WinChip C6,C6-PSMF180GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,180MHz,60MHz,,,3,,5-stage with additional instruction translation stage,,,,32KiB,2-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,4GiB,,,,,,,Staggered CPGA-296,,,Socket 7,5.4M,0.35um,4,,CMOS,88mm^2,,,,,3.135-3.6V,,,,,3.3V,,1.4W (stop clock mode),,9.5W,,0 - 60C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,,13 Oct 1997,$90,,,,,,,,,,http://www.cpu-world.com/CPUs/WinchipC6/IDT-C6-PSMF180GA.html,,,,,,,
IDT,WinChip C6,C6-PSMF200GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,200MHz,66MHz,,,3,,5-stage with additional instruction translation stage,,,,32KiB,2-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,4GiB,,,,,,,Staggered CPGA-296,,,Socket 7,5.4M,0.35um,4,,CMOS,88mm^2,,,,,3.135-3.6V,,,,,3.3V,,1.4W (stop clock mode),,10.5W,,0 - 60C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,,13 Oct 1997,$135,,,,,,,,,,http://www.cpu-world.com/CPUs/WinchipC6/IDT-C6-PSMF200GA.html,,,,,,,
IDT,WinChip 2,W2-3DEE200GDA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,200MHz,66MHz,,,3,,4-stage,,,,32KiB,4-way set associative,32KiB,2-way set associative,none,NA,,,none,NA,NA,NA,NA,NA,,,,,,,,Staggered CPGA-296,49.5 x 49.5 mm^2,,Socket 7,,0.25 or 0.35um,5,,CMOS,58mm^2(0.25um),,,,,3.45-3.6V,,,,,3.52V,,2W (stop clock mode),,12W,,0 - 70C,,"STOP CLOCK state, STOP GRANT state, STOP CLOCK SNOOP state, AUTOHALT state, Dynamic power management",,,,,,x86-32,"MMX, 3DNow!",,,x86,,,,,Integrated,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/Winchip2/IDT-W2-3DEE200GDA.html,,,,,,,
