Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
Inmos,T-212,IMS T212A-G20S PREQUAL,,,,,CPU
Inmos,T-222,IMS T222-G17M,,,,,CPU
Inmos,T-222,IMS T222-G17S,,,,,CPU
Inmos,T-222,IMS T222-G17S,,,,,CPU
Inmos,T-222,IMS T222-G20M,,,,,CPU
Inmos,T-222,IMS T222-G20S,,,,,CPU
Inmos,T-222,IMS T222-G20S,,,,,CPU
Inmos,T-222,IMS T222-G25S,,,,,CPU
Inmos,T-222,IMS T222-G30S,,,,,CPU
Inmos,T-222,IMS T222-J17S,,,,,CPU
Inmos,T-222,IMS T222-J17S,,,,,CPU
Inmos,T-222,IMS T222-J20S,,,,,CPU
Inmos,T-222,IMS T222-J20S,,,,,CPU
Inmos,T-222,IMS T222C-G20S PREQUAL,,,,,CPU
Inmos,T-222,IMS T222C-G20S,,,,,CPU
Inmos,T-400,IMS T400B-G20SB,,,,,CPU
Inmos,T-414,IMS T414-G15S,,,,,CPU
Inmos,T-414,IMS T414-G20S,,,,,CPU
Inmos,T-414,IMS T414-J15S,,,,,CPU
Inmos,T-414,IMS T414-J20S,,,,,CPU
Inmos,T-414,IMS T414B-G15S,,,,,CPU
Inmos,T-425,IMS T425-G17M,,,,,CPU
Inmos,T-425,IMS T425-G17S,,,,,CPU
Inmos,T-425,IMS T425-G20M,,,,,CPU
Inmos,T-425,IMS T425-G20S,,,,,CPU
Inmos,T-425,IMS T425-G25S,,,,,CPU
Inmos,T-425,IMS T425-G30S,,,,,CPU
Inmos,T-425,IMS T425-Q17M,,,,,CPU
Inmos,T-425,IMS T425-Q20M,,,,,CPU
Inmos,T-800,IMS T800-G17M,,,,,CPU
Inmos,T-800,IMS T800-G17S,,,,,CPU
Inmos,T-800,IMS T800-G20M,,,,,CPU
Inmos,T-800,IMS T800-G20S,,,,,CPU
Inmos,T-800,IMS T800-G25S,,,,,CPU
Inmos,T-800,IMS T800-G30S,,,,,CPU
Inmos,T-800,IMS T800-Q17M,,,,,CPU
Inmos,T-800,IMS T800-Q20M,,,,,CPU
Inmos,T-800,IMS T800C-G20S PREQUAL,,,,,CPU
Inmos,T-800,IMS T800D-G20S,,,,,CPU
Inmos,T-801,IMS T801-G20M,,,,,CPU
Inmos,T-801,IMS T801-G20S,,,,,CPU
Inmos,T-801,IMS T801-G25S,,,,,CPU
Inmos,T-801,IMS T801-G30S,,,,,CPU
Inmos,T-805,IMS T805-G17S,,,,,CPU
Inmos,T-805,IMS T805-G20S,,,,,CPU
Inmos,T-805,IMS T805-G25S,,,,,CPU
Inmos,T-805,IMS T805-G30S,,,,,CPU
Inmos,T-805,IMS T805-J17M,,,,,CPU
Inmos,T-805,IMS T805-J17S,,,,,CPU
Inmos,T-805,IMS T805-J20M,,,,,CPU
Inmos,T-805,IMS T805-J20S,,,,,CPU
Inmos,T-805,IMS T805-Q17M,,,,,CPU
Inmos,T-805,IMS T805-Q20M,,,,,CPU
Inmos,T-801,IMS T801B-G25S,,,,,CPU
