Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
Intersil,6100,IM6100AIDL,,,,,CPU
Intersil,6100,IM6100AIPL,,,,,CPU
Intersil,6100,IM6100AMDL,,,,,CPU
Intersil,6100,IM6100CCDL,,,,,CPU
Intersil,6100,IM6100CCPL,,,,,CPU
Intersil,6100,IM6100CPL,,,,,CPU
Intersil,6100,IM6100IDL,,,,,CPU
Intersil,6100,IM6100IPL,,,,,CPU
Intersil,286,5962-9067802MXC,,,,,CPU
Intersil,286,5962-9067801MXC,,,,,CPU
Intersil,286,CG80C286-20,,,,,CPU
Intersil,286,CG80C286-16,,,,,CPU
Intersil,286,CG80C286-12,,,,,CPU
Intersil,286,CS80C286-25,,,,,CPU
Intersil,286,CS80C286-20,,,,,CPU
Intersil,286,CS80C286-16,,,,,CPU
Intersil,286,CS80C286-12,,,,,CPU
Intersil,286,IG80C286-12,,,,,CPU
Intersil,286,IG80C286-10,,,,,CPU
Intersil,286,IS80C286-25,,,,,CPU
Intersil,286,IS80C286-25,,,,,CPU
Intersil,286,IS80C286-20,,,,,CPU
Intersil,286,IS80C286-20,,,,,CPU
Intersil,286,IS80C286-16,,,,,CPU
Intersil,286,IS80C286-16,,,,,CPU
Intersil,286,IS80C286-12,,,,,CPU
Intersil,286,IS80C286-12,,,,,CPU
Intersil,286,IS80C286-10,,,,,CPU
Intersil,1802,CDP1802ACD3,,,,,CPU
Intersil,1802,CDP1802ACE,,,,,CPU
Intersil,1802,CDP1802ACEX,,,,,CPU
Intersil,1802,CDP1802ACQ,,,,,CPU
Intersil,1802,CDP1802ACD,,,,,CPU
Intersil,1802,CDP1802ACDX,,,,,CPU
Intersil,1802,CDP1802BCDX,,,,,CPU
Intersil,1802,CDP1802BCE,,,,,CPU
Intersil,1802,CDP1802BCEX,,,,,CPU
Intersil,1802,CDP1802BCQ,,,,,CPU
Intersil,8088,MD80C88-2/883,,,,,CPU
Intersil,8088,5962-8601601QA,,,,,CPU
Intersil,8088,5962-8601601XA,,,,,CPU
Intersil,8088,CD80C88,,,,,CPU
Intersil,8088,CD80C88-2,,,,,CPU
Intersil,8088,CP80C88,,,,,CPU
Intersil,8088,CP80C88-2,,,,,CPU
Intersil,8088,CS80C88,,,,,CPU
Intersil,8088,CS80C88-2,,,,,CPU
Intersil,8088,ID80C88,,,,,CPU
Intersil,8088,ID80C88-2,,,,,CPU
Intersil,8088,IP80C88,,,,,CPU
Intersil,8088,IP80C88-2,,,,,CPU
Intersil,8088,IS80C88,,,,,CPU
Intersil,8088,IS80C88-2,,,,,CPU
Intersil,8088,MD80C88-2/B,,,,,CPU
Intersil,8088,MD80C88/B,,,,,CPU
Intersil,8088,MR80C88-2/B,,,,,CPU
Intersil,8088,MR80C88/B,,,,,CPU
Intersil,8086,8405202QA,,,,,CPU
Intersil,8086,CP80C86-2,,,,,CPU
Intersil,8086,CP80C86-2Z,,,,,CPU
Intersil,8086,MD80C86-2/883,,,,,CPU
Intersil,8086,MD80C86-2/B,,,,,CPU
