Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus(ext),Address Bus,Bus comments,Frequency(ext),Frequency(internal min),Frequency(internal max/typ),Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data comments,L1 instruction cache,L1 instruction comments,L1 unified cache,L1 unified comments,L2 cache,L2 comments,L3 cache,L3 comments,Empty,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die size,Green,Empty,Empty,Empty,Vcc(core range),Vcc(core typical),Empty,Vcc(secondary),Vcc(tertiary),Empty,Vcc(I/O),I/O compatibility,Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Production type,Clone,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Empty,Empty,Empty,Empty,Empty,Photo front filename 1,Photo front creator 1,Photo front source 1,Photo front copyright 1,Photo front comment 1,Empty,Photo back filename 1,Photo back creator 1,Photo back source 1,Photo back copyright 1,Photo back comment 1,Empty,Photo front filename 2,Photo front creator 2,Photo front source 2,Photo front copyright 2,Photo front comment 2,Empty,Photo back filename 2,Photo back creator 2,Photo back source 2,Photo back copyright 2,Photo back comment 2,Empty,Photo front filename 3,Photo front creator 3,Photo front source 3,Photo front copyright 3,Photo front comment 3,Empty,Photo back filename 3,Photo back creator 3,Photo back source 3,Photo back copyright 3,Photo back comment 3,Empty,Photo front filename 4,Photo front creator 4,Photo front source 4,Photo front copyright 4,Photo front comment 4,Empty,Photo back filename 4,Photo back creator 4,Photo back source 4,Photo back copyright 4,Photo back comment 4,Empty,Die photo filename 1,Die photo creator 1,Die photo source 1,Die photo copyright 1,Die photo comment 1,Empty
LSI,SPARC,L1A3761,100-1808-01,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,20MHz,20MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPGA-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparc,,,,,,,,,,,,1988,,,,,,,,,,,http://www.cpu-collection.de/?l0=cl&l1=SPARC&l2=LSI%20Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI,SPARC,L64811GC-40S,,,,,,,,,,CPU,,,,,,,,1,,,,,,,,,,,,40MHz,40MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPGA-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparc,,,,,,,,,,,,1990,,,,,,,,,,,http://www.cpu-collection.de/?l0=cl&l1=SPARC&l2=LSI%20Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI,SPARC,S1A0007,100-1808-02,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,20MHz,20MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPGA-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparc,,,,,,,,,,,,1988,,,,,,,,,,,http://www.cpu-collection.de/?l0=cl&l1=SPARC&l2=LSI%20Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI,SPARC,S1C0010,100-2921-01,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,25MHz,25MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQFP-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparc,,,,,,,,,,,,1990,,,,,,,,,,,http://www.cpu-collection.de/?l0=cl&l1=SPARC&l2=LSI%20Logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI,R3000,LR3000GC-20,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,,,,,20MHz,20MHz,,,,,,,,,64KiB,,64KiB,,none,NA,,,,,NA,NA,NA,NA,4GiB,,64TiB,,,,,CPGA-145,40 x 40 x 7.5 mm^3,,,110000,1.2um,,,,66mm^2,,,,,4.75-5.25V,5V,,,,5V,5V,,,4W,,,,,,,,,,,R3000,,,,MIPS,,,,,Ext R3010,,,,,,,1988,,,,,,,,,,,http://www.cpu-museum.de/?m=LSI+Logic&f=R3000,http://www.cpupages.com/store/index.php?id_item=1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI,R3000,LR3220GC-25,,,,,,,,,,RWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-collection.de/?l0=co&l1=LSI%20Logic&l2=R3000%20RWB,,,,,,,,,,,,,ic-photo-LSI--LR3220GC-25--(MIPS-Read-Write-Buffer).JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI,LR33000,LR33000MC-25,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,25MHz,,,,,,,,,,1KiB,,8KiB,,none,NA,,,,,NA,NA,NA,NA,4GiB,DRAM,,,,,,MQUAD-160,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,2.75W,,0-70C,Commercial,,,,,,,R33000,,,,MIPS,,,,,,"DRAM controller, DMA, bus interface unit, timer/counter, debug support",,,,,,,,,,,,,,,,,"Datasheet: LSI Logic, “LR33000 Self-Embedding Processor”, Order Number J15005.B, May 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI,LR33000,LR33000MC-33,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,33MHz,,,,,,,,,,1KiB,,8KiB,,none,NA,,,,,NA,NA,NA,NA,4GiB,DRAM,,,,,,MQUAD-160,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,3.125W,,0-70C,Commercial,,,,,,,R33000,,,,MIPS,,,,,,"DRAM controller, DMA, bus interface unit, timer/counter, debug support",,,,,,,,,,,,,,,,,"Datasheet: LSI Logic, “LR33000 Self-Embedding Processor”, Order Number J15005.B, May 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI,LR33000,LR33000MC-40,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,40MHz,,,,,,,,,,1KiB,,8KiB,,none,NA,,,,,NA,NA,NA,NA,4GiB,DRAM,,,,,,MQUAD-160,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,3.5W,,0-70C,Commercial,,,,,,,R33000,,,,MIPS,,,,,,"DRAM controller, DMA, bus interface unit, timer/counter, debug support",,,,,,,,,,,,,,,,,"Datasheet: LSI Logic, “LR33000 Self-Embedding Processor”, Order Number J15005.B, May 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSI,LR33000,LR33000HC-25,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,25MHz,,,,,,,,,,1KiB,,8KiB,,none,NA,,,,,NA,NA,NA,NA,4GiB,DRAM,,,,,,CPGA-155,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,2.75W,,0-70C,Commercial,,,,,,,R33000,,,,MIPS,,,,,,"DRAM controller, DMA, bus interface unit, timer/counter, debug support",,,,,,,,,,,,,,,,,"Datasheet: LSI Logic, “LR33000 Self-Embedding Processor”, Order Number J15005.B, May 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
