Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
MHS,8086,D8086,,,,,CPU
MHS,8086,D8086-2,,,,,CPU
MHS,8086,HM8086,,,,,CPU
MHS,8086,ID8086,,,,,CPU
MHS,8086,MD8086,,,,,CPU
MHS,8086,MD8086/B,,,,,CPU
MHS,8088,D8088,,,,,CPU
MHS,8088,P8088,,,,,CPU
MHS,8088,P8088-2,,,,,CPU
MHS,MCS-51 (8032),IP-80C32,,,,,MCU
MHS,MCS-51 (8031),P-80C31-1,,,,,MCU
MHS,MCS-51 (8031),P-80C31-16,,,,,MCU
MHS,MCS-51 (8032),P-80C32,,,,,MCU
MHS,MCS-51 (8032),S-80C32-1,,,,,MCU
MHS,MCS-51 (8032),S-80C32-40,,,,,MCU
MHS,MCS-51 (8031),MD-80C31MB,,,,,MCU
MHS,MCS-51 (8052),S-80C154u-25,,,,,MCU
