Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
MOS,6500/1,6500/1-034,,,,,,,,,,MCU,,,6500,MOS,,,,1,,,,,,,,,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,2KiB,,64B,64KiB,,,,,,,,PDIP-40,,DIP-40,9000,6um,,,Depletion load NMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,0.5W,1.1W,,0-70C,,,,,,,,6500,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.chipdb.org/img-mos-6500-1-034-3115.htm,http://www.cpupages.com/store/index.php?id_item=939,,,,,,
MOS,65xx,6507,CO-10745,,,,,,,,,,,,6500,MOS,,,,1,,,,,,8,8,13,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,8KiB,,,,,,,,PDIP-28,,DIP-28,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,,,,,,,,
MOS,65xx,6509,,,,,,,,,,,,,6500,MOS,,,,1,,,,,,,,,,,,1MHz,1MHz,,,1,,,,,,,,,,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,,PDIP-40,,DIP-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.chipdb.org/img-mos-6509-3132.htm,http://www.cpucollection.ca/MOS650x.htm,,,,,,
MOS,65xx,8500,,,,,,,,,,,,,8500,MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDIP-40,,DIP-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cpucollection.ca/MOS650x.htm,,,,,,,
MOS,65xx,8501,,,,,,,,,,CPU,,,8500,MOS,,,,1,,,,,,8,8,16,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,PDIP-40,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.chipdb.org/img-mos-8501-3140.htm,http://www.cpu-collection.de/?tn=&l0=co&l1=MOS&l2=850x,,,,,,
MOS,65xx,6502AD,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,16,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,PDIP-40,,DIP-40,9000,6um,,,Depletion load NMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,0-70C,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,http://www.cpu-collection.de/?tn=0&l0=co&l1=MOS&l2=6502,http://www.cpupages.com/store/index.php?id_item=937,,,,,,
MOS,65xx,6502C,,,,,,,,,,,,,6500,MOS,,,,,,,,,,,,,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpucollection.ca/MOS650x.htm,,,,,,,
MOS,65xx,6509R4,,,,,,,,,,,,,6500,MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDIP-40,,DIP-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.chipdb.org/img-mos-6509r4-3133.htm,,,,,,,
MOS,65xx,6510CBM (ceramic),,,,,,,,,,,,,6510,,,,,1,,,,,,8,8,16,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-collection.de/?tn=0&l0=co&l1=MOS&l2=6510,,,,,,,
MOS,65xx,6510CBM (plastic),,,,,,,,,,CPU,,,6510,MOS,,,,1,,,,,,8,8,16,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,PDIP-40,,DIP-40,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,Desktop PC,,,,,,,,,http://www.cpu-collection.de/?tn=0&l0=co&l1=MOS&l2=6510,,,,,,,
MOS,65xx,6510T,,,,,,,,,,,,,6510,MOS,,,,1,,,,,,8,,,,,,2MHz,2MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDIP-40,,DIP-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cpucollection.ca/MOS650x.htm,http://www.softwolves.com/arkiv/cbm-hackers/15/15949.html,,,,,,
MOS,65xx,7501R1,,,,,,,,,,,,,,MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",http://www.cpu-collection.de/?tn=0&l0=co&l1=MOS&l2=7501,,,,,,
MOS,65xx,8501R1,,,,,,,,,,CPU,,,8500,MOS,,,,1,,,,,,8,8,16,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,PDIP-40,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.chipdb.org/img-mos-8501r1-3141.htm,http://www.cpu-collection.de/?tn=&l0=co&l1=MOS&l2=850x,http://www.cpucollection.ca/MOS650x.htm,,,,,
MOS,65xx,8501R4,,,,,,,,,,CPU,,,8500,MOS,,,,1,,,,,,8,8,16,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,PDIP-40,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.chipdb.org/img-mos-8501r4-3142.htm,http://www.cpu-collection.de/?tn=&l0=co&l1=MOS&l2=850x,http://www.cpucollection.ca/MOS650x.htm,,,,,
MOS,65xx,8502 (ceramic),,,,,,,,,,,,,8500,MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cpucollection.ca/MOS650x.htm,http://www.chipdb.org/img-mos-8502-3143.htm,,,,,,
MOS,65xx,8502 (plastic),,,,,,,,,,,,,8500,MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cpucollection.ca/MOS650x.htm,http://www.chipdb.org/img-mos-8502-diff-package-3146.htm,,,,,,
MOS,65xx,8502R0,,,,,,,,,,CPU,,,8500,MOS,,,,1,,,,,,8,8,16,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,PDIP-40,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,,,,0-70C,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,http://www.chipdb.org/img-mos-8502r0-3144.htm,http://www.cpu-collection.de/?tn=&l0=co&l1=MOS&l2=850x,http://www.cpucollection.ca/MOS650x.htm,http://www.cpupages.com/store/index.php?id_item=936,,,,
