Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
Motorola,6800,MC6800CL,,,,,CPU
Motorola,6800,MC6800CP,,,,,CPU
Motorola,6800,MC6800CS,,,,,CPU
Motorola,6800,MC6800L ,,,,,CPU
Motorola,6800,MC6800L2,,,,,CPU
Motorola,6800,MC6800P ,,,,,CPU
Motorola,6800,MC6800S,,,,,CPU
Motorola,6800,MC68A00CL,,,,,CPU
Motorola,6800,MC68A00CP,,,,,CPU
Motorola,6800,MC68A00CS,,,,,CPU
Motorola,6800,MC68A00L,,,,,CPU
Motorola,6800,MC68A00P,,,,,CPU
Motorola,6800,MC68A00S,,,,,CPU
Motorola,6800,MC68B00L,,,,,CPU
Motorola,6800,MC68B00P,,,,,CPU
Motorola,6800,MC68B00S,,,,,CPU
Motorola,6800,XC6800B,,,,,CPU
Motorola,6805,MC146805E2,,,,,MCU
Motorola,6805,MC146805E2CL,,,,,MCU
Motorola,6805,MC146805E2CP,,,,,MCU
Motorola,6805,MC146805E2CS,,,,,MCU
Motorola,6805,MC146805E2CZ,,,,,MCU
Motorola,6805,MC146805E2FN,,,,,MCU
Motorola,6805,MC146805E2L,,,,,MCU
Motorola,6805,MC146805E2P,,,,,MCU
Motorola,6805,MC146805E2S,,,,,MCU
Motorola,6805,MC146805E2Z,,,,,MCU
Motorola,6805,MC146805F2,,,,,MCU
Motorola,6805,MC146805F2CFN,,,,,MCU
Motorola,6805,MC146805F2CP,,,,,MCU
Motorola,6805,MC146805F2CS,,,,,MCU
Motorola,6805,MC146805F2FN,,,,,MCU
Motorola,6805,MC146805F2P,,,,,MCU
Motorola,6805,MC146805F2S,,,,,MCU
Motorola,6805,MC146805G2FN,,,,,MCU
Motorola,6805,MC6805P2FN ,,,,,MCU
Motorola,6805,MC6805P4 ,,,,,MCU
Motorola,6805,MC6805P6 ,,,,,MCU
Motorola,6805,MC6805P6FN ,,,,,MCU
Motorola,6805,MC6805R2 ,,,,,MCU
Motorola,6805,MC6805R2FN ,,,,,MCU
Motorola,6805,MC6805R3 ,,,,,MCU
Motorola,6805,MC6805R3CFN ,,,,,MCU
Motorola,6805,MC6805R3CP ,,,,,MCU
Motorola,6805,MC6805R3CS ,,,,,MCU
Motorola,6805,MC6805R3FN ,,,,,MCU
Motorola,6805,MC6805R3P ,,,,,MCU
Motorola,6805,MC6805R3S ,,,,,MCU
Motorola,6805,MC6805R6 ,,,,,MCU
Motorola,6805,MC6805S2 ,,,,,MCU
Motorola,6805,MC6805S3 ,,,,,MCU
Motorola,6805,MC6805T2 ,,,,,MCU
Motorola,6805,MC6805T2L ,,,,,MCU
Motorola,6805,MC6805T2P ,,,,,MCU
Motorola,6805,MC6805U2 ,,,,,MCU
Motorola,6805,MC6805U3 ,,,,,MCU
Motorola,6805,MC68705P3 ,,,,,MCU
Motorola,6805,MC68705P3CS,,,,,MCU
