Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus(ext),Address Bus,Bus comments,Frequency(ext),Frequency(internal min),Frequency(internal max/typ),Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data comments,L1 instruction cache,L1 instruction comments,L1 unified cache,L1 unified comments,L2 cache,L2 comments,L3 cache,L3 comments,Empty,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die size,Green,Empty,Empty,Empty,Vcc(core range),Vcc(core typical),Empty,Vcc(secondary),Vcc(tertiary),Empty,Vcc(I/O),I/O compatibility,Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Production type,Clone,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Empty,Empty,Empty,Empty,Empty,Photo front filename 1,Photo front creator 1,Photo front source 1,Photo front copyright 1,Photo front comment 1,Empty,Photo back filename 1,Photo back creator 1,Photo back source 1,Photo back copyright 1,Photo back comment 1,Empty,Photo front filename 2,Photo front creator 2,Photo front source 2,Photo front copyright 2,Photo front comment 2,Empty,Photo back filename 2,Photo back creator 2,Photo back source 2,Photo back copyright 2,Photo back comment 2,Empty,Photo front filename 3,Photo front creator 3,Photo front source 3,Photo front copyright 3,Photo front comment 3,Empty,Photo back filename 3,Photo back creator 3,Photo back source 3,Photo back copyright 3,Photo back comment 3,Empty,Photo front filename 4,Photo front creator 4,Photo front source 4,Photo front copyright 4,Photo front comment 4,Empty,Photo back filename 4,Photo back creator 4,Photo back source 4,Photo back copyright 4,Photo back comment 4,Empty,Die photo filename 1,Die photo creator 1,Die photo source 1,Die photo copyright 1,Die photo comment 1,Empty
NEC,8080,8080AF,uPD8080AF,μPD8080AF,uPD8080AFD,μPD8080AFD,8080AFD,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,2MHz,,,,,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,NMOS,,,,,,4.75 to 5.25V,5V,,12V +/- 5%,-5V +/- 5%,,5V,TTL,,0.78W,1.24W,,0 to 70C,Commercial,,,,,,,8080,,,,8080,,,,,none,,,,,,"Yes, Intel 8080A",,,,no,,,,,,,,"Datasheet: NEC, “μPD8080AF 8-BIT N-CHANNEL MICROPROCESSOR FAMILY”. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0044335.pdf&dir=Datasheets-112&part=UPD8080AF# [Accessed 4 Feb 2013]",http://www.cpu-world.com/CPUs/8080/NEC-8080AF.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,8080,8080AF-1,uPD8080AF-1,μPD8080AF-1,uPD8080AFD-1,μPD8080AFD-1,8080AFD-1,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,3MHz,,,,,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,NMOS,,,,,,4.75 to 5.25V,5V,,12V +/- 5%,-5V +/- 5%,,5V,TTL,,,,,0 to 70C,Commercial,,,,,,,8080,,,,8080,,,,,none,,,,,,"Yes, Intel 8080A",,,,no,,,,,,,,"Datasheet: NEC, “μPD8080AF 8-BIT N-CHANNEL MICROPROCESSOR FAMILY”. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0044335.pdf&dir=Datasheets-112&part=UPD8080AF# [Accessed 4 Feb 2013]",http://www.cpu-world.com/CPUs/8080/NEC-8080AF-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,8080,8080AF-2,uPD8080AF-2,μPD8080AF-2,uPD8080AFD-2,μPD8080AFD-2,8080AFD-1,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,2.5MHz,,,,,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,NMOS,,,,,,4.75 to 5.25V,5V,,12V +/- 5%,-5V +/- 5%,,5V,TTL,,,,,0 to 70C,Commercial,,,,,,,8080,,,,8080,,,,,none,,,,,,"Yes, Intel 8080A",,,,no,,,,,,,,"Datasheet: NEC, “μPD8080AF 8-BIT N-CHANNEL MICROPROCESSOR FAMILY”. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0044335.pdf&dir=Datasheets-112&part=UPD8080AF# [Accessed 4 Feb 2013]",http://www.cpu-world.com/CPUs/8080/NEC-8080AF-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,R3000,D30310R-33,VR3000A-33,uPD30310R-33,μPD30310R-33,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,33MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPGA-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/R3000/NEC-D30310R-33%20%28VR3000A-33%29.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,R4000,D30400RJ-40,VR4000PC-40,uPD30400RJ-40,μPD30400RJ-40,,,,,,,CPU,,,,,,,,1,8-stage,,,,,64,,,,,,40MHz,,,,"2, 3 or 4",,,,,,8KiB,"direct-mapped, can be expanded to 32 KiB",8KiB,"direct-mapped, can be expanded to 32 KiB",none,NA,none,NA,none,NA,NA,NA,NA,NA,64GiB,,2 GiB (32-bit mode); 1 TiB (64-bit mode),,,,,CPGA-179,,,,1.3M,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,R4000,,,,MIPS,,,,,integrated,"System control processor, MMU",,,,,no,,,,no,Internal pipeline operates at 80 MHz.,,,,,,,http://www.cpu-world.com/CPUs/R4000/NEC-D30400RJ-40%20%28VR4000PC-40%29.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,R4000,D30401RJ-50,VR4000SC-50,uPD30401RJ-50,μPD30401RJ-50,,,,,,,CPU,,,,,,,,1,8-stage,,,,,64,,,,,,50MHz,,,,"2, 3 or 4",,,,,,8KiB,"direct-mapped, can be expanded to 32 KiB",8KiB,"direct-mapped, can be expanded to 32 KiB",none,NA,ext. 128KiB to 4MiB,128-bit,none,NA,NA,NA,NA,NA,64GiB,,2 GiB (32-bit mode); 1 TiB (64-bit mode),,,,,Ceramic SPGA-447,,,,1.3M,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,R4000,,,,MIPS,,,,,integrated,"L2 cache controller, System control processor, MMU",,,,,no,,,,no,Internal pipeline operates at 100 MHz.,,,,,,,http://www.cpu-world.com/CPUs/R4000/NEC-D30401RJ-50%20%28VR4000SC-50%29.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,R4400,D30412LRJ-200,VR4400MC,uPD30412LRJ-200,μPD30412LRJ-200,,,,,,,CPU,,,,,,,,1,8-stage,,,,,64,,,,100MHz,,200MHz,,,,"2, 3, 4, 6 or 8",,,,,,16KiB,direct-mapped,16KiB,direct-mapped,none,NA,ext. 128KiB to 4MiB,128-bit,,,NA,NA,NA,NA,64GiB,,2 GiB (user mode); 2.5 GiB (supervisor mode); 4 GiB (kernel mode),,,,,Ceramic SPGA-447,,,,2.3M,0.35um,,,CMOS,184mm^2,,,,,,,,,,,,,,,,,,,,,,,,,R4400,,,,MIPS,,,,,integrated,"L2 cache controller, System control processor, MMU",,,,,no,24 May 1994,,,no,,,,,,,,http://www.cpu-world.com/CPUs/R4400/NEC-D30412LRJ-200%20%28VR4400MC%29.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,R4400,D30412LRJ-250,VR4400MC,uPD30412LRJ-250,μPD30412LRJ-250,,,,,,,CPU,,,,,,,,1,8-stage,,,,,64,,,,125MHz,,250MHz,,,,"2, 3, 4, 6 or 8",,,,,,16KiB,direct-mapped,16KiB,direct-mapped,none,NA,ext. 128KiB to 4MiB,128-bit,,,NA,NA,NA,NA,64GiB,,2 GiB (user mode); 2.5 GiB (supervisor mode); 4 GiB (kernel mode),,,,,Ceramic SPGA-447,,,,2.3M,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,R4400,,,,MIPS,,,,,integrated,"L2 cache controller, System control processor, MMU",,,,,no,May 1993,,,no,,,,,,,,http://www.cpu-world.com/CPUs/R4400/NEC-D30412LRJ-250%20%28VR4400MC%29.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,R4400,D30412RJ-75,VR4400MC,uPD30412RJ-75,μPD30412RJ-75,,,,,,,CPU,,,,,,,,1,8-stage,,,,,64,,,,75MHz,,150MHz,,,,"2, 3, 4, 6 or 8",,,,,,16KiB,direct-mapped,16KiB,direct-mapped,none,NA,ext. 128KiB to 4MiB,128-bit,,,NA,NA,NA,NA,64GiB,,2 GiB (user mode); 2.5 GiB (supervisor mode); 4 GiB (kernel mode),,,,,Ceramic SPGA-447,,,,2.3M,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,R4400,,,,MIPS,,,,,integrated,"L2 cache controller, System control processor, MMU",,,,,no,May 1993,,,no,,,,,,,,http://www.cpu-world.com/CPUs/R4400/NEC-D30412RJ-75%20%28VR4400MC%29.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,R10000,D30700RS-180,VR10000,uPD30700RS-180,μPD30700RS-180,,,,,,,CPU,,,,,,,,1,,up to 4 processors,,,,64,,,,,,180MHz,,,,,,,,,,32KiB,2-way set associative write-back,32KiB,2-way set associative,none,NA,ext. 512KiB to 16MiB,128-bit 2-way set associative write-back,,,NA,NA,NA,NA,,,,,,,,CLGA-599,4.75 x 4.75 cm^2,,,6.7M,0.35um,,,CMOS,306mm^2,,,,,3.3V ± 5%,3.3V,,NA,NA,,,,,,30W,,20 to 85C,Commercial,,,,,,,R10000,,,,MIPS,,,,,integrated,L2 cache controller,,,,,no,,,,no,,,,,,,,http://www.cpu-world.com/CPUs/R10000/NEC-D30700RS-180%20%28VR10000%29.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
