Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
OKI,8085,M80C85A,,,,,CPU
OKI,8085,M80C85A-2,,,,,CPU
OKI,8085,M80C85AH,,,,,CPU
OKI,8085,M80C85AH (PLCC),,,,,CPU
OKI,8085,MSM80C85A-2GS,,,,,CPU
OKI,8085,MSM80C85A-2RS,,,,,CPU
OKI,8085,MSM80C85AGS,,,,,CPU
OKI,8085,MSM80C85AHGS-2K,,,,,CPU
OKI,8085,MSM80C85AHJS,,,,,CPU
OKI,8085,MSM80C85AHRS,,,,,CPU
OKI,8085,MSM80C85ARS,,,,,CPU
OKI,8088,M80C88,,,,,CPU
OKI,8088,M80C88A,,,,,CPU
OKI,8088,M80C88A-10,,,,,CPU
OKI,8088,M80C88A-10 (QFP),,,,,CPU
OKI,8088,M80C88A-2,,,,,CPU
OKI,8088,MSM80C88A-10GS-K,,,,,CPU
OKI,8088,MSM80C88A-10JS,,,,,CPU
OKI,8088,MSM80C88A-10RS,,,,,CPU
OKI,8088,MSM80C88GS,,,,,CPU
OKI,8088,MSM80C88RS,,,,,CPU
OKI,8080,MSM8080A,,,,,CPU
