Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
RCA,1802,CDP1802ACD,,,,,CPU
RCA,1802,CDP1802ACE,,,,,CPU
RCA,1802,CDP1802AD,,,,,CPU
RCA,1802,CDP1802AE,,,,,CPU
RCA,1802,CDP1802BCD,,,,,CPU
RCA,1802,CDP1802BCE,,,,,CPU
RCA,1802,CDP1802CD,,,,,CPU
RCA,1802,CDP1802CD3,,,,,CPU
RCA,1802,CDP1802CE,,,,,CPU
RCA,1802,CDP1802CEX,,,,,CPU
RCA,1802,CDP1802D,,,,,CPU
RCA,1802,CDP1802E,,,,,CPU
RCA,1802,CDP1804A,,,,,CPU
RCA,1802,CDP1804ACD,,,,,CPU
RCA,1802,CDP1804ACE,,,,,CPU
RCA,1802,CDP1804CD,,,,,CPU
RCA,1802,CDP1804CE,,,,,CPU
RCA,1802,CDP1804D,,,,,CPU
RCA,1802,CDP1804E,,,,,CPU
RCA,1802,CDP1804PCE,,,,,CPU
RCA,1802,CDP1805ACD,,,,,CPU
RCA,1802,CDP1805ACE,,,,,CPU
RCA,1802,CDP1806ACD,,,,,CPU
RCA,1802,CDP1806ACE,,,,,CPU
RCA,1802,CDP1806CD,,,,,CPU
RCA,1801,CDP1801RD ,,,,,CPU
RCA,1801,CDP1801UD ,,,,,CPU
RCA,1801,CDP1801RD ,,,,,CPU
RCA,1801,CDP1801UD ,,,,,CPU
RCA,1801,CDP1801CRD ,,,,,CPU
RCA,1801,CDP1801CUD ,,,,,CPU
RCA,1804,CDP1804D ,,,,,MCU
RCA,1804,CDP1804CD ,,,,,MCU
RCA,1804,CDP1804AD ,,,,,MCU
RCA,1804,CDP1804ACD ,,,,,MCU
RCA,1804,CDP1804E ,,,,,MCU
RCA,1804,CDP1804CE ,,,,,MCU
RCA,1804,CDP1804AE ,,,,,MCU
RCA,1804,CDP1804ACE ,,,,,MCU
RCA,1804,CDP1804PCE ,,,,,MCU
RCA,1805,CDP1805D ,,,,,MCU
RCA,1805,CDP1805CD ,,,,,MCU
RCA,1805,CDP1805AD ,,,,,MCU
RCA,1805,CDP1805ACD ,,,,,MCU
RCA,1805,CDP1805E ,,,,,MCU
RCA,1805,CDP1805CE ,,,,,MCU
RCA,1805,CDP1805AE ,,,,,MCU
RCA,1805,CDP1805ACE ,,,,,MCU
RCA,1805,CDP1805AQ ,,,,,MCU
RCA,1805,CDP1805ACQ ,,,,,MCU
RCA,1806,CDP1806D ,,,,,MCU
RCA,1806,CDP1806D ,,,,,MCU
RCA,1806,CDP1806AD ,,,,,MCU
RCA,1806,CDP1806ACD ,,,,,MCU
RCA,1806,CDP1806E ,,,,,MCU
RCA,1806,CDP1806CE ,,,,,MCU
RCA,1806,CDP1806AE ,,,,,MCU
RCA,1806,CDP1806ACE ,,,,,MCU
RCA,1806,CDP1806AQ ,,,,,MCU
RCA,1806,CDP1806ACQ ,,,,,MCU
