Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
Renesas,M32C,M30833FJGP,,,,,MCU
Renesas,M32C,M30833FJTGP,,,,,MCU
Renesas,M32C,M30833MJFP,,,,,MCU
Renesas,M32C,M30835FJGP,,,,,MCU
Renesas,RX26G,R5F562G7ADFH ,,,,,MCU
Renesas,RX26G,R5F562G7ADFP ,,,,,MCU
Renesas,RX26G,R5F562G7DDFH ,,,,,MCU
Renesas,RX26G,R5F562G7DDFP ,,,,,MCU
Renesas,RX26G,R5F562GAADFH ,,,,,MCU
Renesas,RX26G,R5F562GADDFH ,,,,,MCU
Renesas,RX26G,R5F562GADDFP ,,,,,MCU
Renesas,RX62N,R5F56218BDFB ,,,,,MCU
Renesas,RX62N,R5F56216BDBG ,,,,,MCU
Renesas,RX62N,R5F56216BDFB ,,,,,MCU
Renesas,RX62N,R5F56216BDFP ,,,,,MCU
Renesas,RX62N,R5F56216BDLD ,,,,,MCU
Renesas,RX62N,R5F56216BDLE ,,,,,MCU
Renesas,RX62N,R5F56217BDBG ,,,,,MCU
Renesas,RX62N,R5F56217BDFB ,,,,,MCU
Renesas,RX62N,R5F56217BDFP ,,,,,MCU
Renesas,RX62N,R5F56217BDLD ,,,,,MCU
Renesas,RX62N,R5F56217BDLE ,,,,,MCU
Renesas,RX62N,R5F56218BDBG ,,,,,MCU
Renesas,RX62N,R5F56218BDFP ,,,,,MCU
Renesas,RX62N,R5F56218BDLD ,,,,,MCU
Renesas,RX62N,R5F56218BDLE ,,,,,MCU
Renesas,RX62N,R5F562N7ADBG ,,,,,MCU
Renesas,RX62N,R5F562N7ADFB ,,,,,MCU
Renesas,RX62N,R5F562N7ADFP ,,,,,MCU
Renesas,RX62N,R5F562N7ADLE ,,,,,MCU
Renesas,RX62N,R5F562N7BDBG ,,,,,MCU
Renesas,RX62N,R5F562N7BDFB ,,,,,MCU
Renesas,RX62N,R5F562N7BDFP ,,,,,MCU
Renesas,RX62N,R5F562N7BDLE ,,,,,MCU
Renesas,RX62N,R5F562N8ADBG ,,,,,MCU
Renesas,RX62N,R5F562N8ADFB ,,,,,MCU
Renesas,RX62N,R5F562N8ADFP ,,,,,MCU
Renesas,RX62N,R5F562N8ADLE ,,,,,MCU
Renesas,RX62N,R5F562N8BDBG ,,,,,MCU
Renesas,RX62N,R5F562N8BDFB ,,,,,MCU
Renesas,RX62N,R5F562N8BDFP ,,,,,MCU
Renesas,RX62N,R5F562N8BDLE ,,,,,MCU
Renesas,RX610,R5F56104VDFP ,,,,,MCU
Renesas,RX610,R5F56104VNFP ,,,,,MCU
Renesas,RX610,R5F56104WDBG ,,,,,MCU
Renesas,RX610,R5F56104WNBG ,,,,,MCU
Renesas,RX610,R5F56106VDFP ,,,,,MCU
Renesas,RX610,R5F56106VNFP ,,,,,MCU
Renesas,RX610,R5F56106WDBG ,,,,,MCU
Renesas,RX610,R5F56106WNBG ,,,,,MCU
Renesas,RX610,R5F56107VDFP ,,,,,MCU
Renesas,RX610,R5F56107WDBG ,,,,,MCU
Renesas,RX610,R5F56107WNBG ,,,,,MCU
Renesas,RX610,R5F56108VDFP ,,,,,MCU
Renesas,RX610,R5F56108VNFP ,,,,,MCU
Renesas,RX610,R5F56108WDBG ,,,,,MCU
Renesas,RX610,R5F56108WNBG ,,,,,MCU
Renesas,RX62G,R5F562G7ADFH ,,,,,MCU
Renesas,RX62G,R5F562G7ADFP ,,,,,MCU
Renesas,RX62G,R5F562G7DDFH ,,,,,MCU
Renesas,RX62G,R5F562G7DDFP ,,,,,MCU
Renesas,RX62G,R5F562GAADFH ,,,,,MCU
Renesas,RX62G,R5F562GAADFP ,,,,,MCU
Renesas,RX62G,R5F562GADDFH ,,,,,MCU
Renesas,RX62G,R5F562GADDFP ,,,,,MCU
Renesas,RX62T,R5F562T6ADFF ,,,,,MCU
Renesas,RX62T,R5F562T6ADFK ,,,,,MCU
Renesas,RX62T,R5F562T6ADFM ,,,,,MCU
Renesas,RX62T,R5F562T6BDFF ,,,,,MCU
Renesas,RX62T,R5F562T6BDFK ,,,,,MCU
Renesas,RX62T,R5F562T6BDFM ,,,,,MCU
Renesas,RX62T,R5F562T6DDFF ,,,,,MCU
Renesas,RX62T,R5F562T6DDFK ,,,,,MCU
Renesas,RX62T,R5F562T6DDFM ,,,,,MCU
Renesas,RX62T,R5F562T6EDFF ,,,,,MCU
Renesas,RX62T,R5F562T6EDFK ,,,,,MCU
Renesas,RX62T,R5F562T6EDFM ,,,,,MCU
Renesas,RX62T,R5F562T7ADFF ,,,,,MCU
Renesas,RX62T,R5F562T7ADFH ,,,,,MCU
Renesas,RX62T,R5F562T7ADFK ,,,,,MCU
Renesas,RX62T,R5F562T7ADFM ,,,,,MCU
Renesas,RX62T,R5F562T7ADFP ,,,,,MCU
Renesas,RX62T,R5F562T7BDFF ,,,,,MCU
Renesas,RX62T,R5F562T7BDFH ,,,,,MCU
Renesas,RX62T,R5F562T7BDFK ,,,,,MCU
Renesas,RX62T,R5F562T7BDFM ,,,,,MCU
Renesas,RX62T,R5F562T7BDFP ,,,,,MCU
Renesas,RX62T,R5F562T7DDFF ,,,,,MCU
Renesas,RX62T,R5F562T7DDFH ,,,,,MCU
Renesas,RX62T,R5F562T7DDFK ,,,,,MCU
Renesas,RX62T,R5F562T7DDFM ,,,,,MCU
Renesas,RX62T,R5F562T7DDFP ,,,,,MCU
Renesas,RX62T,R5F562T7EDFF ,,,,,MCU
Renesas,RX62T,R5F562T7EDFH ,,,,,MCU
Renesas,RX62T,R5F562T7EDFK ,,,,,MCU
Renesas,RX62T,R5F562T7EDFM ,,,,,MCU
Renesas,RX62T,R5F562T7EDFP ,,,,,MCU
Renesas,RX62T,R5F562TAADFF ,,,,,MCU
Renesas,RX62T,R5F562TAADFH ,,,,,MCU
Renesas,RX62T,R5F562TAADFK ,,,,,MCU
Renesas,RX62T,R5F562TAADFM ,,,,,MCU
Renesas,RX62T,R5F562TAADFP ,,,,,MCU
Renesas,RX62T,R5F562TABDFF ,,,,,MCU
Renesas,RX62T,R5F562TABDFH ,,,,,MCU
Renesas,RX62T,R5F562TABDFK ,,,,,MCU
Renesas,RX62T,R5F562TABDFM ,,,,,MCU
Renesas,RX62T,R5F562TABDFP ,,,,,MCU
Renesas,RX62T,R5F562TADDFF ,,,,,MCU
Renesas,RX62T,R5F562TADDFH ,,,,,MCU
Renesas,RX62T,R5F562TADDFK ,,,,,MCU
Renesas,RX62T,R5F562TADDFM ,,,,,MCU
Renesas,RX62T,R5F562TADDFP ,,,,,MCU
Renesas,RX62T,R5F562TAEDFF ,,,,,MCU
Renesas,RX62T,R5F562TAEDFH ,,,,,MCU
Renesas,RX62T,R5F562TAEDFK ,,,,,MCU
Renesas,RX62T,R5F562TAEDFM ,,,,,MCU
Renesas,RX62T,R5F562TAEDFP ,,,,,MCU
Renesas,RX630,R5F56307CDFP ,,,,,MCU
