Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus(ext),Address Bus,Bus comments,Frequency(ext),Frequency(internal min),Frequency(internal max/typ),Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data comments,L1 instruction cache,L1 instruction comments,L1 unified cache,L1 unified comments,L2 cache,L2 comments,L3 cache,L3 comments,Empty,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die size,Green,Empty,Empty,Empty,Vcc(core range),Vcc(core typical),Empty,Vcc(secondary),Vcc(tertiary),Empty,Vcc(I/O),I/O compatibility,Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Production type,Clone,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Empty,Empty,Empty,Empty,Empty,Photo front filename 1,Photo front creator 1,Photo front source 1,Photo front copyright 1,Photo front comment 1,Empty,Photo back filename 1,Photo back creator 1,Photo back source 1,Photo back copyright 1,Photo back comment 1,Empty,Photo front filename 2,Photo front creator 2,Photo front source 2,Photo front copyright 2,Photo front comment 2,Empty,Photo back filename 2,Photo back creator 2,Photo back source 2,Photo back copyright 2,Photo back comment 2,Empty,Photo front filename 3,Photo front creator 3,Photo front source 3,Photo front copyright 3,Photo front comment 3,Empty,Photo back filename 3,Photo back creator 3,Photo back source 3,Photo back copyright 3,Photo back comment 3,Empty,Photo front filename 4,Photo front creator 4,Photo front source 4,Photo front copyright 4,Photo front comment 4,Empty,Photo back filename 4,Photo back creator 4,Photo back source 4,Photo back copyright 4,Photo back comment 4,Empty,Die photo filename 1,Die photo creator 1,Die photo source 1,Die photo copyright 1,Die photo comment 1,Empty
Ricoh,6502,RC2C03C,,,,,,,,,,GPU,,,2C03,Ricoh,,,,1,,,,,,8,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,6502,,,,,none,,,,,,,,,,,,,,,,,,http://www.crazykong.com/pins/NintendoVsChips.pin.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricoh,6502,RC2C05-03,,,,,,,,,,GPU,,,2C05,Ricoh,,,,1,,,,,,8,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6502,,,,,none,,,,,,,,,,,,,,,,,,http://www.crazykong.com/pins/NintendoVsChips.pin.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricoh,6502,RC2C05-04,,,,,,,,,,GPU,,,2C05,Ricoh,,,,1,,,,,,8,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6502,,,,,none,,,,,,,,,,,,,,,,,,http://www.crazykong.com/pins/NintendoVsChips.pin.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricoh,6502,RP2A03,,,,,,,,,,CPU,,,2A03,Ricoh,,,,1,,,,,,8,8,16,,,,1.79MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,6um,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,modified 6502 without standard decimal mode,,,,6502,,,,,none,,,,,,,,,Nintendo Entertanment System (NTSC),,,,,,,,,http://console5.com/wiki/Famicom [Accessed 30 Dec 2012],http://en.wikipedia.org/wiki/Ricoh_2A03 [Accessed 30 Dec 2012],http://nesdev.com/NinTech.txt [Accessed 30 Dec 2012],http://nesdev.com/NESDoc.pdf,http://www.visual6502.org/images/pages/Nintendo_RP2A_die_shots.html,http://wiki.nesdev.com/w/index.php/CPU_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricoh,6502,RP2A03E,,,,,,,,,,CPU,,,2A03,Ricoh,,,,1,,,,,,8,8,16,,,,1.79MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,modified 6502 without standard decimal mode,,,,6502,,,,,none,,,,,,,,,Nintendo Entertanment System (NTSC),,,,,,,,,http://www.cpu-world.com/CPUs/650x/MANUF-Ricoh.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricoh,6502,RP2A03G,,,,,,,,,,CPU,,,2A03,Ricoh,,,,1,,,,,,8,8,16,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,modified 6502 without standard decimal mode,,,,6502,,,,,none,,,,,,,,,Nintendo Entertanment System (NTSC),,,,,,,,,http://nesdev.com/NinTech.txt [Accessed 30 Dec 2012],http://www.happytrees.org/chips?page=chip&manufacturer=Ricoh&part=RP2A03G,,,,,,,,,,,,ic-photo-Ricoh--RP2A03G--(Nintendo-PPU)-(GPU).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricoh,6502,RP2A03H,,,,,,,,,,CPU,,,2A03,Ricoh,,,,1,,,,,,8,8,16,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,modified 6502 without standard decimal mode,,,,6502,,,,,none,,,,,,,,,Nintendo Entertanment System (NTSC),,,,,,,,,http://console5.com/wiki/Nintendo_NES-101 [Accessed 30 Dec 2012],http://nesdev.com/NinTech.txt [Accessed 30 Dec 2012],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricoh,6502,RP2A07,,,,,,,,,,CPU,,,2A07,Ricoh,,,,1,,,,,,8,8,16,,,,1.66MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,6um,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,modified 6502 without standard decimal mode,,,,6502,,,,,none,,,,,,,,,Nintendo Entertanment System (PAL),,,,,,,,,http://en.wikipedia.org/wiki/Ricoh_2A03 [Accessed 30 Dec 2012],http://www.visual6502.org/images/pages/Nintendo_RP2A_die_shots.html,http://wiki.nesdev.com/w/index.php/CPU_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricoh,6502,RP2A07A,,,,,,,,,,CPU,,,2A07,Ricoh,,,,1,,,,,,8,8,16,,,,1.66MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,modified 6502 without standard decimal mode,,,,6502,,,,,none,,,,,,,,,Nintendo Entertanment System (PAL),,,,,,,,,http://en.wikipedia.org/wiki/Ricoh_2A03 [Accessed 30 Dec 2012],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricoh,6502,RP2C02,,,,,,,,,,GPU,,,2C02,Ricoh,,,,1,,,,,,8,8,,,,,5.37MHz,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,6502,,,,,none,,,,,,,,,Nintendo Entertanment System (NTSC),,,,,,,,,http://console5.com/wiki/Famicom [Accessed 30 Dec 2012],http://en.wikipedia.org/wiki/Picture_Processing_Unit [Accessed 30 Dec 2012],http://nesdev.com/NinTech.txt [Accessed 30 Dec 2012],http://nesdev.com/NESDoc.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
