Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Bus comments,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc(core range),Vcc(core typical),Empty,Vcc(secondary),Vcc(tertiary),Empty,Vcc(I/O),I/O compatibility,Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Production type,Clone,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Empty,Empty,Empty,Empty,Empty,Photo front filename 1,Photo front copyright 1,Photo front comment 1,Empty,Photo back filename 1,Photo back copyright 1,Photo back comment 1,Empty,Photo front filename 2,Photo front copyright 2,Photo front comment 2,Empty,Photo back filename 2,Photo back copyright 2,Photo back comment 2,Empty,Photo front filename 3,Photo front copyright 3,Photo front comment 3,Empty,Photo back filename 3,Photo back copyright 3,Photo back comment 3,Empty,Photo front filename 4,Photo front copyright 4,Photo front comment 4,Empty,Photo back filename 4,Photo back copyright 4,Photo back comment 4,Empty,Die photo 1,Die photo copyright 1,Die photo comment 1,Empty
Rise,mP6,MP6441DPFH4-Q,,,,,,,,,,CPU,,,Kirin,Rise,,,,1,"8-stage (integer), 4-stage (FP) ",no,,,,32,64,32,,,,200MHz (266MHz rated),100MHz,,,2,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PBGA-387 on a staggered PGA-296,,,Socket 7,3.6M,0.25um,,,CMOS,,,,,,2.75-2.85V,2.8V,,3.3V,NA,,3.3V,,,,14.87W,8.54W,0 to 70C,Commercial,"Stop Grant state, Stop Clock state, Auto Halt Power Down state, parts of the chip are powered down when not in use ",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,no,16 Nov 1998,$70,Desktop computer,no,,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6%20PR%20266%20MHz%20-%20MP6441DPFH4-Q.html,http://www.cpu-collection.de/?tn=0&l0=co&l1=Rise&l2=mP6,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise,mP6,MP6441RPFE4-Q,,,,,,,,,,CPU,,,Kirin,Rise,,,,1,"8-stage (integer), 4-stage (FP) ",no,,,,32,64,32,,,,166MHz,83MHz,,,2,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PBGA-387 on a staggered PGA-296,,,Socket 7,3.6M,0.25um,,,CMOS,,,,,,2.75-2.85V,2.8V,,3.3V,NA,,3.3V,,,,14.87W,7.28W,0 to 70C,Commercial,"Stop Grant state, Stop Clock state, Auto Halt Power Down state, parts of the chip are powered down when not in use ",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,no,16 Nov 1998,$50,Desktop computer,no,,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6%20166%20MHz%20-%20MP6441RPFE4-Q.html,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise,mP6,MP6441RPFH4-Q,,,,,,,,,,CPU,,,Kirin,Rise,,,,1,"8-stage (integer), 4-stage (FP) ",no,,,,32,64,32,,,,200MHz (266MHz rated),100MHz,,,2,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PBGA-387 on a staggered PGA-296,,,Socket 7,3.6M,0.25um,,,CMOS,,,,,,2.75-2.85V,2.8V,,3.3V,NA,,3.3V,,,,14.87W,8.54W,0 to 70C,Commercial,"Stop Grant state, Stop Clock state, Auto Halt Power Down state, parts of the chip are powered down when not in use ",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,,no,16 Nov 1998,$70,Desktop computer,no,,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6%20PR%20266%20MHz%20-%20MP6441RPFH4-Q.html,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise,mP6,MP6430BYY (sample),,,,,,,,,,CPU,,,,Rise,,,,1,,no,,,,32,,,,,,,,,,,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,Staggered PPGA-296,,,Socket 7,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,Engineering sample,no,,,Desktop computer,no,Only samples of this part were released.,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6430BYY.html,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise,mP6,MP6430CNE (sample),,,,,,,,,,CPU,,,,Rise,,,,1,,,,,,32,,,,,,150MHz,,,,,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,Staggered CPGA-296,,,Socket 7,,,,,CMOS,,,,,,,2.8V (unconfirmed),,3.3V,NA,,3.3V,,,,,,,,,,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,Sample,no,,,Desktop computer,no,Only samples of this part were released.,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6430CNE.html,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise,mP6,MP6440DPF-ES (2.8V 2x75 MHz) (sample),,,,,,,,,,CPU,,,,Rise,,,,1,"8-stage (integer), 4-stage (FP) ",no,,,,32,,,,,,150MHz,75MHz,,,2,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PBGA-387 on a staggered PGA-296,,,Socket 7,,0.25um,,,CMOS,,,,,,,2.8V,,3.3V,NA,,3.3V,,,,,,0 to 70C,Commercial,"Stop Grant state, Stop Clock state, Auto Halt Power Down state, parts of the chip are powered down when not in use ",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,Sample,no,,,Desktop computer,no,Only samples of this part were released.,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6%20150%20MHz%20-%20MP6440DPF-ES%20%282.8V%202x75%20MHz%29.html,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise,mP6,MP6440DPF-ES (2.7V 2x83 MHz) (sample),,,,,,,,,,CPU,,,,Rise,,,,1,"8-stage (integer), 4-stage (FP) ",no,,,,32,,,,,,166MHz,83MHz,,,2,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PBGA-387 on a staggered PGA-296,,,Socket 7,,0.25um,,,CMOS,,,,,,,2.7V,,3.3V,NA,,3.3V,,,,,,0 to 70C,Commercial,"Stop Grant state, Stop Clock state, Auto Halt Power Down state, parts of the chip are powered down when not in use ",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,Sample,no,,,Desktop computer,no,Only samples of this part were released.,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6%20166%20MHz%20-%20MP6440DPF-ES%20%282.7V%202x83%20MHz%29.html,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise,mP6,MP6441RPFE4-ES (2.7V 2x83 MHz) (sample),,,,,,,,,,CPU,,,,Rise,,,,1,"8-stage (integer), 4-stage (FP) ",no,,,,32,,,,,,166MHz,83MHz,,,2,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PBGA-387 on a staggered PGA-296,,,Socket 7,,0.25um,,,CMOS,,,,,,,2.7V,,3.3V,NA,,3.3V,,,,,,0 to 70C,Commercial,"Stop Grant state, Stop Clock state, Auto Halt Power Down state, parts of the chip are powered down when not in use ",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,Sample,no,,,Desktop computer,no,Only samples of this part were released.,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6%20166%20MHz%20-%20MP6440DPF-ES%20%282.7V%202x83%20MHz%29.html,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise,mP6,MP6440DPF-ES (2.7V 2x95 MHz) (sample),,,,,,,,,,CPU,,,,Rise,,,,1,"8-stage (integer), 4-stage (FP) ",no,,,,32,,,,,,190MHz (233MHz rated),95MHz,,,2,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PBGA-387 on a staggered PGA-296,,,Socket 7,,0.25um,,,CMOS,,,,,,,2.7V,,3.3V,NA,,3.3V,,,,,,0 to 70C,Commercial,"Stop Grant state, Stop Clock state, Auto Halt Power Down state, parts of the chip are powered down when not in use ",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,Sample,no,,,Desktop computer,no,Only samples of this part were released.,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6%20PR%20233%20MHz%20-%20MP6440DPF-ES%20%282.7V%202x95%20MHz%29.html,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rise,mP6,MP6440DPF-ES (2.7V 2x100 MHz) (sample),,,,,,,,,,CPU,,,,Rise,,,,1,"8-stage (integer), 4-stage (FP) ",no,,,,32,,,,,,200MHz (266MHz rated),100MHz,,,2,,,,,,8KiB,2-way write back,8KiB,2-way write back,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PBGA-387 on a staggered PGA-296,,,Socket 7,,0.25um,,,CMOS,,,,,,,2.7V,,3.3V,NA,,3.3V,,,,,,0 to 70C,Commercial,"Stop Grant state, Stop Clock state, Auto Halt Power Down state, parts of the chip are powered down when not in use ",,,,,,x86-32,MMX,,,x86,,,,,Integrated,,,,,Sample,no,,,Desktop computer,no,Only samples of this part were released.,,,,,,,http://www.cpu-world.com/CPUs/MP6/Rise%20Technology-MP6%20PR%20266%20MHz%20-%20MP6440DPF-ES%20%282.7V%202x100%20MHz%29.html,http://alasir.com/x86ref/index2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
