Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
SGS-Thomson,6809,EF6809P,,,,,CPU
SGS-Thomson,6809,EF68B09EP,,,,,
SGS-Thomson,6809,EF68B09J,,,,,
SGS-Thomson,6809,EF68B09P,,,,,
SGS-Thomson,Z80,Z8400BB1,,,,,
SGS-Thomson,Z80,Z8400BB1X2,,,,,
SGS-Thomson,Z80,Z84C00AB6,,,,,
SGS-Thomson,Z8,Z8681B1,,,,,MCU
SGS-Thomson,486,ST486DX-40,,,,,CPU
SGS-Thomson,486,ST486DX2-66,,,,,CPU
SGS-Thomson,486,ST486DX2-66GS,,,,,CPU
SGS-Thomson,486,ST486DX2-80GS,,,,,CPU
SGS-Thomson,486,ST486DX4V10HS,,,,,CPU
SGS-Thomson,68000,TS68000CFN10,,,,,CPU
SGS-Thomson,68000,TS68000CFN12,,,,,CPU
SGS-Thomson,68000,TS68000CFN16,,,,,CPU
SGS-Thomson,68000,TS68000CFN8,,,,,CPU
SGS-Thomson,68000,TS68000CP10,,,,,CPU
SGS-Thomson,68000,TS68000CP12,,,,,CPU
SGS-Thomson,68000,TS68000CP16,,,,,CPU
SGS-Thomson,68000,TS68000CP8,,,,,CPU
SGS-Thomson,68000,TS68000CR10,,,,,CPU
SGS-Thomson,68000,TS68000CR12,,,,,CPU
SGS-Thomson,68000,TS68000CR16,,,,,CPU
SGS-Thomson,68000,TS68000CR8,,,,,CPU
SGS-Thomson,68000,TS68000VFN10,,,,,CPU
SGS-Thomson,68000,TS68000VFN8,,,,,CPU
SGS-Thomson,68000,TS68000VP10,,,,,CPU
SGS-Thomson,68000,TS68000VP8,,,,,CPU
SGS-Thomson,68008,TS68008CFN10,,,,,CPU
SGS-Thomson,68008,TS68008CFN8,,,,,CPU
SGS-Thomson,68008,TS68008CP10,,,,,CPU
SGS-Thomson,68008,TS68008CP8,,,,,CPU
SGS-Thomson,68008,TS68008VFN10,,,,,CPU
SGS-Thomson,68008,TS68008VFN8,,,,,CPU
SGS-Thomson,68008,TS68008VP10,,,,,CPU
SGS-Thomson,68008,TS68008VP8,,,,,CPU
SGS-Thomson,6x86,ST6x86P90+,ST6x86P90+HS,,,,CPU
SGS-Thomson,6x86,ST6x86P120+,ST6x86P120+HS,,,,CPU
SGS-Thomson,6x86,ST6x86P133+,ST6x86P133+HS,,,,CPU
SGS-Thomson,6x86,ST6x86P150+,ST6x86P150+HS,,,,CPU
SGS-Thomson,6x86,ST6x86P150+,ST6x86P150+HS,,,,CPU
SGS-Thomson,6x86,ST6x86P166+,ST6x86P166+HS,,,,CPU
SGS-Thomson,5x86,5x86-100,,,,,CPU
