Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
SGS,Z80,Z8400AB1,,,,,CPU
SGS,Z80,Z8400AB6,,,,,CPU
SGS,Z80,Z8400AD1,,,,,CPU
SGS,Z80,Z8400AD2,,,,,CPU
SGS,Z80,Z8400AD6,,,,,CPU
SGS,Z80,Z8400AF1,,,,,CPU
SGS,Z80,Z8400AF6,,,,,CPU
SGS,Z80,Z8400B1,,,,,CPU
SGS,Z80,Z8400B6,,,,,CPU
SGS,Z80,Z8400BB1,Z8400BB-1,,,,CPU
SGS,Z80,Z8400BB6,,,,,CPU
SGS,Z80,Z8400BC1,,,,,CPU
SGS,Z80,Z8400BD1,,,,,CPU
SGS,Z80,Z8400BD2,,,,,CPU
SGS,Z80,Z8400BD6,,,,,CPU
SGS,Z80,Z8400BF1,,,,,CPU
SGS,Z80,Z8400BF6,,,,,CPU
SGS,Z80,Z8400D1,,,,,CPU
SGS,Z80,Z8400D2,,,,,CPU
SGS,Z80,Z8400D6,,,,,CPU
SGS,Z80,Z8400F1,,,,,CPU
SGS,Z80,Z8400F6,,,,,CPU
SGS,Z80,Z84C00AB6Y,,,,,CPU
SGS,Z80,Z84C00BB6Y,,,,,CPU
SGS,Z8,Z8681B1,,,,,MCU
SGS,Z8,Z8681B1,,,,,MCU
SGS,Z8,Z8681B6,,,,,MCU
SGS,Z8,Z8681D1,,,,,MCU
SGS,Z8,Z8681D6,,,,,MCU
SGS,Z8,Z8611B1,,,,,MCU
SGS,Z8,Z8611B6,,,,,MCU
SGS,Z8,Z8611D1,,,,,MCU
SGS,Z8,Z8611D6,,,,,MCU
SGS,Z8,Z8601B1,,,,,MCU
SGS,Z8,Z8601B6,,,,,MCU
SGS,Z8,Z8601D1,,,,,MCU
SGS,Z8,Z8601D6,,,,,MCU
SGS,Z8000,Z8001B1,,,,,CPU
SGS,Z8000,Z8001B6,,,,,CPU
SGS,Z8000,Z8001D1,,,,,CPU
SGS,Z8000,Z8001D2,,,,,CPU
SGS,Z8000,Z8001D6,,,,,CPU
SGS,Z8000,Z8001AB1,,,,,CPU
SGS,Z8000,Z8001AB6,,,,,CPU
SGS,Z8000,Z8001AD1,,,,,CPU
SGS,Z8000,Z8001AD6,,,,,CPU
SGS,Z8000,Z8001BB1,,,,,CPU
SGS,Z8000,Z8001BB6,,,,,CPU
SGS,Z8000,Z8001BD1,,,,,CPU
SGS,Z8000,Z8001BD6,,,,,CPU
SGS,Z8000,Z8002B1,,,,,CPU
SGS,Z8000,Z8002B6,,,,,CPU
SGS,Z8000,Z8002D1,,,,,CPU
SGS,Z8000,Z8002D2,,,,,CPU
SGS,Z8000,Z8002D6,,,,,CPU
SGS,Z8000,Z8002AB1,,,,,CPU
SGS,Z8000,Z8002AB6,,,,,CPU
SGS,Z8000,Z8002AD1,,,,,CPU
SGS,Z8000,Z8002AD6,,,,,CPU
SGS,Z8000,Z8002BB1,,,,,CPU
SGS,Z8000,Z8002BB6,,,,,CPU
SGS,Z8000,Z8002BD1,,,,,CPU
SGS,Z8000,Z8002BD6,,,,,CPU
SGS,Z8000,Z8003B1,,,,,CPU
SGS,Z8000,Z8003B6,,,,,CPU
SGS,Z8000,Z8003D1,,,,,CPU
SGS,Z8000,Z8003D2,,,,,CPU
SGS,Z8000,Z8003D6,,,,,CPU
SGS,Z8000,Z8003AB1,,,,,CPU
SGS,Z8000,Z8003AB6,,,,,CPU
SGS,Z8000,Z8003AD1,,,,,CPU
SGS,Z8000,Z8003AD6,,,,,CPU
SGS,Z8000,Z8003BB1,,,,,CPU
SGS,Z8000,Z8003BB6,,,,,CPU
SGS,Z8000,Z8003BD1,,,,,CPU
SGS,Z8000,Z8003BD6,,,,,CPU
SGS,Z8000,Z8004B1,,,,,CPU
SGS,Z8000,Z8004B6,,,,,CPU
SGS,Z8000,Z8004D1,,,,,CPU
SGS,Z8000,Z8004D2,,,,,CPU
SGS,Z8000,Z8004D6,,,,,CPU
SGS,Z8000,Z8004AB1,,,,,CPU
SGS,Z8000,Z8004AB6,,,,,CPU
SGS,Z8000,Z8004AD1,,,,,CPU
SGS,Z8000,Z8004AD6,,,,,CPU
SGS,Z8000,Z8004BB1,,,,,CPU
SGS,Z8000,Z8004BB6,,,,,CPU
SGS,Z8000,Z8004BD1,,,,,CPU
SGS,Z8000,Z8004BD6,,,,,CPU
