Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Architecture,Data Bus (ext),Address Bus,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
STMicroelectronics,486,ST486DX-40,,,,,,,,,CPU,486DX,,,,,,,1,32,,32,,40MHz,,,,,,,,,,none,NA,none,NA,8KiB,,,,,,,,,,4GiB,,,,,,,,CPGA-168,4.45 x 4.45 cm^2,,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,X86-32,,,,x86,,,,,integrated,,,,,,,,,Desktop computer,,,,,,,,,http://www.cpu-world.com/CPUs/80486/ST-ST486DX-40.html,http://www.cpu-collection.de/?tn=0&l0=co&l1=SGS-Thomson&l2=486+DX,,,,,,
STMicroelectronics,486,ST486DX2-50,,,,,,,,,CPU,486DX2,,,,,,,1,32,,32,,50MHz,25MHz,,,2,,,,,,none,NA,none,NA,8KiB,,,,,,,,,,4GiB,,,,,,,,CPGA-168,4.45 x 4.45 cm^2,,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,X86-32,,,,x86,,,,,integrated,,,,,,,,,,,,,,,,,,http://www.cpu-collection.de/?tn=0&l0=co&l1=SGS-Thomson&l2=486+DX,,,,,,,
STMicroelectronics,486,ST486DX2-66,,,,,,,,,CPU,486DX2,,,,,,,1,32,,32,,66MHz,33MHz,,,2,,,,,,none,NA,none,NA,8KiB,,,,,,,,,,4GiB,,,,,,,,CPGA-168,4.45 x 4.45 cm^2,,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,X86-32,,,,x86,,,,,integrated,,,,,,,,,Desktop computer,,,,,,,,,http://www.cpu-world.com/CPUs/80486/ST-ST486DX2-66.html,,,,,,,
STMicroelectronics,486,ST486DX2-66GS,,,,,,,,,CPU,486DX2,,,,,,,1,32,,32,,66MHz,33MHz,,,2,,,,,,none,NA,none,NA,8KiB,,,,,,,,,,4GiB,,,,,,,,CPGA-168,4.45 x 4.45 cm^2,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,0.18W (Suspend mode),4.25W,6.63W,,0 – 85C,"Dynamic clock control, Low power suspend, Automatic FPU power-down ",,,,,,X86-32,,,,x86,,,,,integrated,,,,,,,,,Desktop computer,,,,,,,,,http://www.cpu-world.com/CPUs/80486/ST-ST486DX2-66GS.html,,,,,,,
STMicroelectronics,486,ST486DX2-80,,,,,,,,,CPU,486DX2,,,,,,,1,32,,32,,80MHz,40MHz,,,2,,,,,,none,NA,none,NA,8KiB,,,,,,,,,,4GiB,,,,,,,,CPGA-168,4.45 x 4.45 cm^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X86-32,,,,x86,,,,,integrated,,,,,,,,,,,,,,,,,,http://www.cpu-collection.de/?tn=0&l0=co&l1=SGS-Thomson&l2=486+DX,,,,,,,
STMicroelectronics,486,ST486DX2-80GS,,,,,,,,,CPU,486DX2,,,,,,,1,32,,32,,80MHz,40MHz,,,2,,,,,,none,NA,none,NA,8KiB,,,,,,,,,,4GiB,,,,,,,,CPGA-168,4.45 x 4.45 cm^2,,,,,,,,,,,,4.75-5.25V,5V,,,,,,0.2W (Suspend mode),4.78W,7.88W,,0 – 85C,"Dynamic clock control, Low power suspend, Automatic FPU power-down ",,,,,,X86-32,,,,x86,,,,,integrated,,,,,,,,,Desktop computer,,,,,,,,,http://www.cpu-world.com/CPUs/80486/ST-ST486DX2-80GS.html,,,,,,,
STMicroelectronics,486,ST486DX4V100,,,,,,,,,CPU,486DX4,,,,,,,1,32,,32,,100MHz,33MHz,,,3,,,,,,none,NA,none,NA,8KiB,,,,,,,,,,4GiB,,,,,,,,CPGA-168,4.45 x 4.45 cm^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X86-32,,,,x86,,,,,integrated,,,,,,,,,,,,,,,,,,http://www.cpu-collection.de/?tn=0&l0=co&l1=SGS-Thomson&l2=486+DX,,,,,,,
STMicroelectronics,486,ST486DX4-100,,,,,,,,,CPU,486DX4,,,,,,,1,32,,32,,100MHz,33MHz,,,3,,,,,,none,NA,none,NA,8KiB,,,,,,,,,,4GiB,,,,,,,,CPGA-168,4.45 x 4.45 cm^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X86-32,,,,x86,,,,,integrated,,,,,,,,,,,,,,,,,,http://www.cpu-collection.de/?tn=0&l0=co&l1=SGS-Thomson&l2=486+DX,,,,,,,
STMicroelectronics,486,ST486DX4V10HS,,,,,,,,,CPU,486DX4,,,,,,,1,32,,32,,100MHz,33MHz,,,3,,,,,,none,NA,none,NA,8KiB,,,,,,,,,,4GiB,,,,,,,,CPGA-168,4.45 x 4.45 cm^2,,,,,,,,,,,,3.3-3.6V,,,,,3.45V,,0.12W (Suspend mode),,2.42W,,0 – 85C,"Dynamic clock control, Low power suspend, Automatic FPU power-down ",,,,,,X86-32,,,,x86,,,,,integrated,,,,,,,,,Desktop computer,,,,,,,,,http://www.cpu-world.com/CPUs/80486/ST-ST486DX4V10HS.html,,,,,,,
STMicroelectronics,68000,TS68000CFN10,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,4MHz,10MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,PLCC-68,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CFN10.html,,,,,,,
STMicroelectronics,68000,TS68000CFN12,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,8MHz,12.5MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,PLCC-68,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.75W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CFN12.html,,,,,,,
STMicroelectronics,68000,TS68000CFN16,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,8MHz,16MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,PLCC-68,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.75W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CFN16.html,,,,,,,
STMicroelectronics,68000,TS68000CFN8,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,4MHz,8MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,PLCC-68,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CFN8.html,,,,,,,
STMicroelectronics,68000,TS68000CP10,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,4MHz,10MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,(0.9in) PDIP-64,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CP10.html,,,,,,,
STMicroelectronics,68000,TS68000CP12,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,8MHz,12.5MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,(0.9in) PDIP-64,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.75W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CP12.html,,,,,,,
STMicroelectronics,68000,TS68000CP16,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,8MHz,16MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,(0.9in) PDIP-64,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.75W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CP16.html,,,,,,,
STMicroelectronics,68000,TS68000CP8,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,4MHz,8MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,(0.9in) PDIP-64,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CP8.html,,,,,,,
STMicroelectronics,68000,TS68000CR10,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,4MHz,10MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,CPGA-68,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CR10.html,,,,,,,
STMicroelectronics,68000,TS68000CR12,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,8MHz,12.5MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,CPGA-68,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.75W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CR12.html,,,,,,,
STMicroelectronics,68000,TS68000CR16,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,8MHz,16MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,CPGA-68,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.75W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CR16.html,,,,,,,
STMicroelectronics,68000,TS68000CR8,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,4MHz,8MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,CPGA-68,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,0 – 70C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000CR8.html,,,,,,,
STMicroelectronics,68000,TS68000VFN10,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,4MHz,10MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,PLCC-68,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,-40 - 85C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000VFN10.html,,,,,,,
STMicroelectronics,68000,TS68000VFN8,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,4MHz,8MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,PLCC-68,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,-40 - 85C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000VFN8.html,,,,,,,
STMicroelectronics,68000,TS68000VP10,,,,,,,,,CPU,,,,,,,NA,1,32,16,24,4MHz,10MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,(0.9in) PDIP-64,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.5W,,-40 - 85C,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/68000/ST-TS68000VP10.html,,,,,,,
