Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Siemens,8085,SAB8085A-2-C,SAB8085A2-C,,,,,,,,,CPU,,,,,,,,1,,,,,,8,8,16,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.pc-atrium.de/html/siemens8085.html,,,,,,,
Siemens,8085,SAB8085A-2-D,SAB8085A-2D,,,,,,,,,CPU,,,,,,,,1,,,,,,8,8,16,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,CDIP-40,,,DIP-40,,,,,N-Channel MYMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,none,"Clock generator system controller, serial",,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8085/Siemens-SAB8085A-2-D%20-%20SAB8085A-2D.html,,,,,,,
Siemens,8085,SAB8085A-2-P,SAB8085A2-P,,,,,,,,,CPU,,,,,,,,1,,,,,,8,8,16,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,PDIP-40,,,DIP-40,,,,,N-Channel MYMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.85W,,0-70C,,,,,,,,,,,,,,,,,none,"Clock generator system controller, serial",,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8085/Siemens-SAB8085A-2-P%20-%20SAB8085A2-P.html,,,,,,,
Siemens,8085,SAB8085A-C,SAB8085AC,,,,,,,,,CPU,,,,,,,,1,,,,,,8,8,16,,,,3MHz,3MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,Side-brazed CDIP-40,,,DIP-40,,,,,N-Channel MYMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,none,"Clock generator system controller, serial",,,,,,,,,,,,,,,,,http://www.pc-atrium.de/html/siemens8085.html,http://www.cpu-world.com/CPUs/8085/Siemens-SAB8085A-C%20-%20SAB8085AC.html,,,,,,
Siemens,8085,SAB8085A-D,SAB8085AD,,,,,,,,,CPU,,,,,,,,1,,,,,,8,8,16,,,,3MHz,3MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,CDIP-40,,,DIP-40,,,,,N-Channel MYMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,none,"Clock generator system controller, serial",,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8085/Siemens-SAB8085A-D%20-%20SAB8085AD.html,,,,,,,
Siemens,8085,SAB8085A-P,SAB8085AP,,,,,,,,,CPU,,,,,,,,1,,,,,,8,8,16,,,,3MHz,3MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,PDIP-40,,,DIP-40,,,,,N-Channel MYMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,0.85W,,0-70C,,,,,,,,,,,,,,,,,none,"Clock generator system controller, serial",,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8085/Siemens-SAB8085A-P%20-%20SAB8085AP.html,,,,,,,
Siemens,8085,SAB8085AH-2-D,SAB8085AH-2D,,,,,,,,,CPU,8085AH,,,,,,,1,,,,,,8,8,16,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,CDIP-40,,,DIP-40,,,,,N-Channel MYMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,,,,,,,,,,,,,,,,,,,,none,"Clock generator system controller, serial",,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8085/Siemens-SAB8085AH-2-D%20-%20SAB8085AH-2D.html,,,,,,,
Siemens,8085,SAB8085AH-2-P,SAB8085AH2-P,,,,,,,,,CPU,8085AH,,,,,,,1,,,,,,8,8,16,,,,5MHz,5MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,PDIP-40,,,DIP-40,,,,,N-Channel MYMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,0.6W,,0-70C,,,,,,,,,,,,,,,,,none,"Clock generator system controller, serial",,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8085/Siemens-SAB8085AH-2-P%20-%20SAB8085AH2-P.html,,,,,,,
Siemens,8085,SAB8085AH-D,SAB8085AHD,,,,,,,,,CPU,8085AH,,,,,,,1,,,,,,8,8,16,,,,3MHz,3MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,CDIP-40,,,DIP-40,,,,,N-Channel MYMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,0.6W,,0-70C,,,,,,,,,,,,,,,,,none,"Clock generator system controller, serial",,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8085/Siemens-SAB8085AH-D%20-%20SAB8085AHD.html,,,,,,,
Siemens,8085,SAB8085AH-P,SAB8085AHP,,,,,,,,,CPU,8085AH,,,,,,,1,,,,,,8,8,16,,,,3MHz,3MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,PDIP-40,,,DIP-40,,,,,N-Channel MYMOS,,,,,,4.5-5.5V,5V,,,,5V,5V,,,0.6W,,0-70C,,,,,,,,,,,,,,,,,none,"Clock generator system controller, serial",,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8085/Siemens-SAB8085AH-P%20-%20SAB8085AHP.html,,,,,,,
