Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus(ext),Address Bus,Bus comments,Frequency(ext),Frequency(internal min),Frequency(internal max/typ),Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data comments,L1 instruction cache,L1 instruction comments,L1 unified cache,L1 unified comments,L2 cache,L2 comments,L3 cache,L3 comments,Empty,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die size,Green,Empty,Empty,Empty,Vcc(core range),Vcc(core typical),Empty,Vcc(secondary),Vcc(tertiary),Empty,Vcc(I/O),I/O compatibility,Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Production type,Clone,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Empty,Empty,Empty,Empty,Empty,Photo front filename 1,Photo front creator 1,Photo front source 1,Photo front copyright 1,Photo front comment 1,Empty,Photo back filename 1,Photo back creator 1,Photo back source 1,Photo back copyright 1,Photo back comment 1,Empty,Photo front filename 2,Photo front creator 2,Photo front source 2,Photo front copyright 2,Photo front comment 2,Empty,Photo back filename 2,Photo back creator 2,Photo back source 2,Photo back copyright 2,Photo back comment 2,Empty,Photo front filename 3,Photo front creator 3,Photo front source 3,Photo front copyright 3,Photo front comment 3,Empty,Photo back filename 3,Photo back creator 3,Photo back source 3,Photo back copyright 3,Photo back comment 3,Empty,Photo front filename 4,Photo front creator 4,Photo front source 4,Photo front copyright 4,Photo front comment 4,Empty,Photo back filename 4,Photo back creator 4,Photo back source 4,Photo back copyright 4,Photo back comment 4,Empty,Die photo filename 1,Die photo creator 1,Die photo source 1,Die photo copyright 1,Die photo comment 1,Empty
TI,486,SAMPLE-.60 (sample),,,,,,,,,,CPU,,,,,,,,1,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,none,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x86,,,,,,,,,,,,,,,no,,,,,,,,http://www.chipdb.org/cat-unrated-or-mechanical---engineering-samples-1388.htm [Accessed 19 Feb 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,486,TI486DX2-G66-GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,66MHz,33MHz,,,2,,,,,,none,NA,none,NA,8KiB,,512KiB,External,none,NA,,NA,NA,NA,4GiB,,64TiB,,,,,CPGA-168,,,"Socket 1, 2, or 3",,,,,CMOS,,,,,,,3.45V,,,,,,,,,,,,,,,,,,,,,,,x86,,,,,,,,,,,"Yes, Intel 486DX2",,,,no,,,,,,,,http://www.ti.com/product/ti486dx2 [Accessed 19 Feb 2013],http://www.cpu-world.com/CPUs/80486/Texas%20Instruments-TI486DX2-G66-GA.html [Accessed 19 Feb 2013],http://www.oldcpu.cz/CPU/Texas-Instruments/486-DX2-DX4 [Accessed 19 Feb 2013],http://www.pc-atrium.de/html/texasinstruments80486.html [Accessed 19 Feb 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,486,TI486DX2-G66-WR,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,66MHz,33MHz,,,2,,,,,,none,NA,none,NA,8KiB,,512KiB,External,none,NA,,NA,NA,NA,4GiB,,64TiB,,,,,Ceramic QFP-208,,,NA,,,,,CMOS,,,,,,,3.45V,,,,,,,,,,,,,,,,,,,,,,,x86,,,,,,,,,,,"Yes, Intel 486DX2",,,,no,,,,,,,,http://www.ti.com/product/ti486dx2 [Accessed 19 Feb 2013],http://www.pc-atrium.de/html/texasinstruments80486.html [Accessed 19 Feb 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,486,TI486DX2-G80-GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,80MHz,40MHz,,,2,,,,,,none,NA,none,NA,8KiB,,512KiB,External,none,NA,,NA,NA,NA,4GiB,,64TiB,,,,,CPGA-168,,,"Socket 1, 2, or 3",,,,,CMOS,,,,,,,3.45V,,,,,,,,,,,,,,,,,,,,,,,x86,,,,,,,,,,,"Yes, Intel 486DX2",,,,no,,,,,,,,http://www.ti.com/product/ti486dx2 [Accessed 19 Feb 2013],http://www.cpu-world.com/CPUs/80486/Texas%20Instruments-TI486DX2-G80-GA.html [Accessed 19 Feb 2013],http://www.oldcpu.cz/CPU/Texas-Instruments/486-DX2-DX4 [Accessed 19 Feb 2013],http://www.pc-atrium.de/html/texasinstruments80486.html [Accessed 19 Feb 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,486,TI486DX2-G80-WR ,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,80MHz,40MHz,,,2,,,,,,none,NA,none,NA,8KiB,,512KiB,External,none,NA,,NA,NA,NA,4GiB,,64TiB,,,,,Ceramic QFP-208,,,NA,,,,,CMOS,,,,,,,3.45V,,,,,,,,,,,,,,,,,,,,,,,x86,,,,,,,,,,,"Yes, Intel 486DX2",,,,no,,,,,,,,http://www.ti.com/product/ti486dx2 [Accessed 19 Feb 2013],http://www.pc-atrium.de/html/texasinstruments80486.html [Accessed 19 Feb 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,486,TI486DX4-G100-GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,100MHz,33MHz,,,3,,,,,,none,NA,none,NA,,,512KiB,External,none,NA,,NA,NA,NA,4GiB,,64TiB,,,,,CPGA-168,,,"Socket 1, 2, or 3",,,,,CMOS,,,,,,,3.45V,,,,,,,,,,,,,,,,,,,,,,,x86,,,,,,,,,,,"Yes, Intel 486DX4",,,,no,,,,,,,,http://www.ti.com/product/ti486dx4 [Accessed 19 Feb 2013],http://www.cpu-world.com/CPUs/80486/Texas%20Instruments-TI486DX4-G100-GA.html [Accessed 19 Feb 2013],http://www.oldcpu.cz/CPU/Texas-Instruments/486-DX2-DX4 [Accessed 19 Feb 2013],http://www.pc-atrium.de/html/texasinstruments80486.html [Accessed 19 Feb 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,486,TI486DX4-G100-WR,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,100MHz,33MHz,,,3,,,,,,none,NA,none,NA,,,512KiB,External,none,NA,,NA,NA,NA,4GiB,,64TiB,,,,,Ceramic QFP-208,,,NA,,,,,CMOS,,,,,,,3.45V,,,,,,,,,,,,,,,,,,,,,,,x86,,,,,,,,,,,"Yes, Intel 486DX4",,,,no,,,,,,,,http://www.ti.com/product/ti486dx4-g100 [Accessed 19 Feb 2013],http://www.pc-atrium.de/html/texasinstruments80486.html [Accessed 19 Feb 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,486,TI486DX4-GT100-GA,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,100MHz,33MHz,,,3,,,,,,none,NA,none,NA,,,,,none,NA,,NA,NA,NA,4GiB,,64TiB,,,,,CPGA-168,,,"Socket 1, 2, or 3",,,,,CMOS,,,,,,,3.45V,,,,,,,,,,,,,,,,,,,,,,,x86,,,,,,,,,,,"Yes, Intel 486DX4",,,,no,,,,,,,,http://www.cpu-info.com/html/info.php?ID=651&TABLE=tblcollection [Accessed 19 Feb 2013],http://www.x86-guide.com/en/cpu/Texas-Instruments-486DX4-100-cpu-no1063.html [Accessed 19 Feb 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,486,TI486DX4-GT100-WR,,,,,,,,,,CPU,,,,,,,,1,,,,,,32,32,32,,,,100MHz,33MHz,,,3,,,,,,none,NA,none,NA,,,,,none,NA,,NA,NA,NA,4GiB,,64TiB,,,,,Ceramic QFP-208,,,NA,,,,,CMOS,,,,,,,3.45V,,,,,,,,,,,,,,,,,,,,,,,x86,,,,,,,,,,,"Yes, Intel 486DX4",,,,no,,,,,,,,http://www.pc-atrium.de/html/texasinstruments80486.html [Accessed 19 Feb 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,8080,TMS8080AJDL,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,8,8,16,,,,,,,,,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,,NA,NA,NA,64KiB,,NA,,,,,Side-brazed CDIP-40,,,DIP-40,,6um,,,NMOS,,,,,,,5V,,12V,-5V,,,TTL,,,,,,,,,,,,,8080,,,,,,,,,none,,,,,,"Yes, Intel 8080",,,,,,,,,,,,http://cpu-zone.com/8080.htm,"Datasheet: Texas Instruments, “TMS 8080, TMS 5501 8-BIT MOS MICROPROCESSOR SYSTEM”. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0035932.pdf&dir=Datasheets-111&part=TMS8080# [Accessed 20 Feb 2013]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
