Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus(ext),Address Bus,Bus comments,Frequency(ext),Frequency(internal min),Frequency(internal max/typ),Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data comments,L1 instruction cache,L1 instruction comments,L1 unified cache,L1 unified comments,L2 cache,L2 comments,L3 cache,L3 comments,Empty,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die size,Green,Empty,Empty,Empty,Vcc(core range),Vcc(core typical),Empty,Vcc(secondary),Vcc(tertiary),Empty,Vcc(I/O),I/O compatibility,Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Production type,Clone,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Empty,Empty,Empty,Empty,Empty,Photo front filename 1,Photo front creator 1,Photo front source 1,Photo front copyright 1,Photo front comment 1,Empty,Photo back filename 1,Photo back creator 1,Photo back source 1,Photo back copyright 1,Photo back comment 1,Empty,Photo front filename 2,Photo front creator 2,Photo front source 2,Photo front copyright 2,Photo front comment 2,Empty,Photo back filename 2,Photo back creator 2,Photo back source 2,Photo back copyright 2,Photo back comment 2,Empty,Photo front filename 3,Photo front creator 3,Photo front source 3,Photo front copyright 3,Photo front comment 3,Empty,Photo back filename 3,Photo back creator 3,Photo back source 3,Photo back copyright 3,Photo back comment 3,Empty,Photo front filename 4,Photo front creator 4,Photo front source 4,Photo front copyright 4,Photo front comment 4,Empty,Photo back filename 4,Photo back creator 4,Photo back source 4,Photo back copyright 4,Photo back comment 4,Empty,Die photo filename 1,Die photo creator 1,Die photo source 1,Die photo copyright 1,Die photo comment 1,Empty
UMC,486,U486DX2,,,,,,,,,,CPU,486DX2,,,,i486,,,1,,,,,,32,,,,,,,,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,CPGA-168,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,,,,,,,"Yes, Intel 486",,,,no,,,,,,,,http://www.chipdb.org/img-umc-u486dx2-u5-green-3240.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMC,486,U5S-SUPER25,,,,,,,,,,CPU,486SX,,,,i486,,,1,,,,,,32,,,,,,25MHz,25MHz,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,CPGA-168,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,none,,,,,,"Yes, Intel 486",,1994,,no,,,,,,,,http://www.cpu-museo.it/486umc.html,http://www.cpu-world.com/CPUs/80486/UMC-U5S-SUPER25.html,http://www.cpu-museum.de/?m=UMC&f=U5S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMC,486,U5S-SUPER25/33,U5S-SUPER25-33,,,,,,,,,CPU,486SX,,,,i486,,,1,,,,,,32,,,,,,,,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,CPGA-168,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,none,,,,,,"Yes, Intel 486",,,,no,,,,,,,,http://www.cpu-world.com/CPUs/80486/UMC-U5S-SUPER25-33.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMC,486,U5S-SUPER33,,,,,,,,,,CPU,486SX,,,,i486,,,1,,,,,,32,,,,,,33MHz,33MHz,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,CPGA-168,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,none,,,,,,"Yes, Intel 486",,1994,,no,,,,,,,,http://commons.wikimedia.org/wiki/File:UMC_U5S_Super33.jpg,http://www.cpu-museo.it/486umc.html,http://www.cpu-world.com/CPUs/80486/UMC-U5S-SUPER33.html,http://www.cpu-museum.de/?m=UMC&f=U5S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMC,486,U5S-SUPER33/40,,,,,,,,,,CPU,486SX,,,,i486,,,1,,,,,,32,,,,,,,,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,CPGA-168,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,none,,,,,,"Yes, Intel 486",,1994,,no,,,,,,,,http://www.cpu-museo.it/486umc.html,http://www.cpu-world.com/CPUs/80486/UMC-U5S-SUPER33-40.html,http://www.cpu-museum.de/?m=UMC&f=U5S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMC,486,U5S-SUPER40,,,,,,,,,,CPU,486SX,,,,i486,,,1,,,,,,32,,,,,,40MHz,40MHz,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,CPGA-168,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,none,,,,,,"Yes, Intel 486",,8/1994,,no,,,,,,,,http://www.cpu-museo.it/486umc.html,http://www.cpu-world.com/CPUs/80486/UMC-U5S-SUPER40.html,http://www.cpu-museum.de/?m=UMC&f=U5S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMC,486,U5SD 486-40,,,,,,,,,,CPU,486SX,,,,i486,,,1,,,,,,32,,,,,,,,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,CPGA-168,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,,,,,,,"Yes, Intel 486",,,,no,,,,,,,,http://commons.wikimedia.org/wiki/File:UMC_Green_CPU_486_40_MHz.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMC,486,U5SD-SUPER33,,,,,,,,,,CPU,486SX,,,,i486,,,1,,,,,,32,,,,,,33MHz,33MHz,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,CPGA-168,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,,,,,,,"Yes, Intel 486",,,,no,,,,,,,,http://www.cpu-museo.it/486umc.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMC,486,U5SX 486-33,,,,,,,,,,CPU,486SX,,,,i486,,,1,,,,,,32,,,,,,33MHz,33MHz,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,CPGA-168,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,none,,,,,,"Yes, Intel 486",,8/1994,,no,,,,,,,,http://commons.wikimedia.org/wiki/File:KL_UMC_U5SX.jpg,http://www.cpu-museo.it/486umc.html,http://www.cpu-world.com/CPUs/80486/UMC-U5SX-486-33.html,http://www.cpu-museum.de/?m=UMC&f=U5SX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMC,486,U5SX 486-33F,,,,,,,,,,CPU,486SX,,,,i486,,,1,,,,,,32,,,,,,33MHz,33MHz,,,,,,,,,none,NA,none,NA,8KiB,4-way,,,,,,,,,4GiB,,64TiB,,,,,,,,,,,,,,,,,,,,5V,,,,,5V,,,,,,,,,,,,,,486,,,,x86,,,,,none,,,,,,"Yes, Intel 486",,,,no,,,,,,,,http://www.chipdb.org/img-umc-u5sx-486-33f-3242.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
