Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,RoHS,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
WDC,65C816,W65C816C2,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,http://www.datasheetarchive.com/shortform-datasheet/W65C816C2.html,,,,,,,
WDC,65C816,W65C816C4,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816C6,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816C8,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816D2,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816D4,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816D6,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816D8,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816E2,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816E4,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816E6,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816E8,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816P2,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816P4,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816P6,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816P8,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,
WDC,65C816,W65C816S6PG-14 ,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,yes,,,,,,,,,,,,,,,
WDC,65C816,W65C816S6PLG-14 ,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLCC-44,,,PLCC-44,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,yes,,,,,,,,,,,,,,,
WDC,65C816,W65C816S8P-14,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,14MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PDIP-40,,,DIP-40,,0.8u,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,no,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816S8PL-14,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,14MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,PLCC-44,,0.8u,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,no,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816S8Q-14,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,14MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,,,,,,0.8u,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,no,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SL-14,W65C816SL14,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,14MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,PLCC-44,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SL10,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,10MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,PLCC-44,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SL4,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,4MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,PLCC-44,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SL5,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,5MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,PLCC-44,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SL6,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,6MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,PLCC-44,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SL7,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,7MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,PLCC-44,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
WDC,65C816,W65C816SL8,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,24,,,,8MHz,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,,,,,,PLCC-44,,,PLCC-44,,1.2um,,,CMOS,,,,,,1.3-6V,5V,,,,Vcc,Vcc,,,15mW/MHz,,0-70C,Commercial,,,,,,,65C816,,,,6500,,,,,none,"Clock generator, interrupt controller, timer",,,,,,,,,,,,,,,,,"Datasheet: Western Design Center, “W65C816S”, Aug 1997. Available from: http://www.datasheetarchive.com/dataframe.php?file=DSAP0030353.pdf&dir=Datasheets-111&part=W65C816S8PL14# [Accessed 21 Dec 2012]"
