Manufacturer,Family,Type,Part,Core/Codename/Microarchitecture,# Cores,Die Size,Photo (die),License (die),Link (die),High Res Link,Floorplan image,License (floorplan),Link (floorplan),Notes
AMD,186,CPU,80186,,1,,amd_80186_mz_mit5x.jpg,"CC-BY, John McMaster, http://uvicrec.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=mcmaster:start,,,,,
AMD,186,SoC,,am90c186,,,AMD_80C186_SoC_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,188,CPU,80C188,,1,,AMD_80C188_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,286,CPU,Am80L286-12/S,,1,,AMD_Am286_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,386,CPU,80386DX,,1,,AMD_80386DX_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,486,CPU,80486DX2,,1,,AMD_80486DX2_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,486,CPU,80486DX2-66,,1,,AMD_80486DX2-66_late_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,486,CPU,80486DX2-80  V8T,,1,,AMD_80486DX2-80_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,486,CPU,80486DX4-100NV8T,,1,,AMD_80486DX4-100_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,486,CPU,80486DX4-120SV8B,,1,,AMD_80486DX4_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,8080,CPU,Am9080A,,1,,AMD_Am9080A_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,8088,CPU,8088,,1,,AMD_8088_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,8088,CPU,Am8088,,1,,AMD_8088_metal.jpg,"CC-BY-3.0,  Sean Riddle",http://seanriddledecap.blogspot.com/,,,,,
AMD,386DX,CPU,Am386DX-40 NG80386DX-40,,1,,ADVANCED_MICRO_DEVICES_Am386_TM_DX-40_NG80386DX-40_D_313NFY9_m_AMD_5983D_9312BP_MALAYSIA.jpg,"PD, Epop",https://commons.wikimedia.org/wiki/Special:ListFiles/Epop,,,,,
AMD,A4 Series (Mullins),APU,"A4 Micro-6400T, A10 Micro-6700T",Puma+,4,,amd-mullins_core.jpg,"Copyright, AMD",,,,,,
AMD,AM2900,Bit-slice,Am2901A,,1,,AMD_Am2901A_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,AM2900,Bit-slice,Am2903A,,1,,AMD_Am2903A_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,AM2900,Bit-slice,AM2903ADC,,1,,AMD_Am2903_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,AM29000,Bit-slice,Am29203,,,,AMD_Am29203_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,AM29000,CPU,Am29000-25GC,,1,,AMD_Am29000_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,AM29000,CPU,Am29030-25GC,,1,,AMD_Am29030_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,AM29000,CPU,Am29040-33GC,,1,,AMD_Am29040_die2.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,AM29000,CPU,Am29050-40GC,,1,,AMD_Am29050_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,AM29000,CPU,Am29116A,,1,,AMD_Am29116A_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,Athlon 64,CPU,ADA3400DAA4BY,,,,AMD_Athlon64_Venice_ADA3400DAA4BY.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Athlon 64 3000+,CPU,ADA3000AEP4AX / ADA3000AXBOX,NewCastle,1,,amd-athlon-64-3000plus.jpg,"CC-BY-SA-2.0, Cole L, https://www.flickr.com/photos/187597251@N05/",,,,,,
AMD,Athlon 64 X2,CPU,4400+ (90nm),,,,amd-athlon-64x2-4400plus-90nm-2006.jpg,"CC-BY-SA-2.0, Cole L, https://www.flickr.com/photos/187597251@N05/",,,,,,
AMD,Athlon XP,CPU,,Barton,,,AMD_Athlon_XP_Barton_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,Athlon XP,CPU,,Thoroughbred,,,AMD_Athlon_XP_Thoroughbred_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,K5,CPU,AMD-K5-PR150ABR (5k86),,1,,AMD_K5_die2.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,K5,CPU,AMD-K5-PR75ABR REV. E (SSA/5),,1,,AMD_K5_PR75_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
