Family,Name,Contacts,Length,Width,Height,Volume,Pitch,Weight,Examples,JEDEC,
BGA,FC-BGA-617,617,12mm,12mm,,,,,,,
BGA,FCBGA-1466,1466,37.5mm,37.5mm,,,,,,,
BGA,H-PBGA-495,495,31mm,31mm,2.5mm,31 x 31 x 2.5 mm^3,1.27,,,,
BGA,H-PBGA-540,540,42.5mm,42.5mm,3.8mm,42.5 x 42.5 x 3.8 mm^3,1.27,,,,
BGA,H-PBGA-615,615,35mm,35mm,2.5mm,35 x 35 x 2.5 mm^3,1.27,,,,
BGA,HL-PBGA-304,304,31mm,31mm,1.5mm,31 x 31 x 1.5 mm^3,1.27,,,,
BGA,HL-PBGA-352,352,35mm,35mm,1.5mm,35 x 35 x 1.5 mm^3,1.27,,,,
BGA,HL-PBGA-432,432,40mm,40mm,1.5mm,40 x 40 x 1.5 mm^3,1.27,,,,
BGA,MMAP-144,144,13mm,13mm,1.3mm,13 x 13 x 1.3 mm^3,1,,,,
BGA,MMAP-225,225,17mm,17mm,1.45mm,17 x 17 x 1.45 mm^3,1,,,,
BGA,PBGA-196,196,15mm,15mm,1.61mm,15 x 15 x 1.61 mm^3,1,0.67,,,
BGA,PBGA-208,208,23mm,23mm,2.33mm,23 x 23 x 2.33 mm^3,1.27,1.56,,,
BGA,PBGA-241,241,23mm,23mm,2.38mm,23 x 23 x 2.38 mm^3,1.27,,,,
BGA,PBGA-256,256,17mm,17mm,1.56mm,17 x 17 x 1.56 mm^3,1,0.7,,,
BGA,PBGA-256 (27mm),256,27mm,27mm,2.13mm,27 x 27 x 2.13 mm^3,1.27,,,,
BGA,PBGA-304,304,31mm,31mm,2.33mm,31 x 31 x 2.33 mm^3,1.27,3.46,,,
BGA,PBGA-324,324,27mm,27mm,2.13mm,27 x 27 x 2.13 mm^3,1.27,2.86,,,
BGA,PBGA-421,421,31mm,31mm,2.38mm,31 x 31 x 2.38 mm^3,1.27,3.87,,,
