HP Part Number 1,HP Part Number 2,Manufacturer,Part Number,Description,Source 1,Source 2,,
5180-7374,1FC4-0001,HP,,PA-7300 CPU,http://www.chipdb.org/img-hp-pa-risc-7300-6938.htm,,,
5180-7362,1FE4-0001,HP,,PA-7300 CPU,http://commons.wikimedia.org/wiki/File:KL_HP_PA_RISC_7300.jpg,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,
5180-7362,1FE4-0002,HP,,PA-7300LC (PCX-L2) CPU,http://www.chipdb.org/img-hp-pa-risc-7300lc-3591.htm,http://commons.wikimedia.org/wiki/File:HP_PA-RISC_7300LC.jpg,http://www.cpushack.com/PA-RISC.html,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP
,1FE4-0010,HP,,PA-7300LC CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FJ5-0005,HP,,PA-7000 CPU,,,,
,1FQ1-0001,HP,,PA-7100/7150 ?,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FQ2-0001,HP,,PA-RISC ?,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FQ3-0001,HP,,PA-8000 CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FQ3-0003,HP,,PA-RISC ?,http://www.chipdb.org/img-hp-1fq3-0003-6841.htm,,,
,1FQ3-0003,HP,,,,,,
,1FQ3-0004,HP,,PA-8000 (PCX-U) 160MHz CPU,http://www.chipdb.org/img-hp-pa-risc-8000-1580.htm,http://www.cpushack.com/PA-RISC.html,,
,1FQ3-0008,HP,,PA-8000 CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FQ3-0009,HP,,PA-8000 CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
5960-1344,1FQ4-0007,HP,,PA-7200 100MHz CPU,http://www.chipdb.org/img-hp-pa-7200-140-3708.htm,,,
5960-1344,1FQ4-0008,HP,,PA-7200 (PCX-T) 120MHz CPU,http://www.chipdb.org/img-hp-pa-7200-pcx-t-120mhz-1fq4-0008-6244.htm,http://www.goldtraces.com/familyHPpaRisc.htm,http://www.silirium.ru/hp-pa-risc.html,
,1FQ4-0010,HP,,PA-7200 CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FQ4-0011,HP,,PA-7200 CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FT2-0006,HP,,PA-7100LC 80MHz CPU,http://www.chipdb.org/img-hp-pa-7100lc-1ft2-0006-6955.htm,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,http://www.silirium.ru/hp-pa-risc.html,
,1FT2-0007,HP,,PA-7100LC CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FT2-0008,HP,,PA-7100LC 80MHz CPU,http://www.chipdb.org/img-hp-pa-7100lc-1ft2-0008-6954.htm,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,http://www.goldtraces.com/familyHPpaRisc.htm,http://www.silirium.ru/hp-pa-risc.html
,1FT2-0010,HP,,PA-7100LC 48MHz CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FT2-0011,HP,,PA-7100LC 96MHz CPU,http://partsurfer.hp.com/Search.aspx?searchText=1FT2-0008,,,
,1FT8-0008,HP,,PA-7200 (PCX-T') CPU,http://www.cpushack.com/PA-RISC.html,,,
,1FT9-0001,HP,,PA-7100/PA-7150 (PCX-T) CPU,http://www.cpushack.com/PA-RISC.html,,,
5181-7333,1FT9-0002,HP,,PA-7150 CPU,http://commons.wikimedia.org/wiki/File:KL_HP_PA_RISC_7150.jpg,,,
5181-7333,1FU7-0001,HP,,PA-7100 CPU,http://www.chipdb.org/img-hp-pa-risc-7100-rev-b-6819.htm,,,
,1FU9-0001,HP,,PA-RISC,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FU9-0002,HP,,PA-RISC,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FV8-0002,HP,,PA-RISC 7000 MIOC,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FV9-0001,HP,,PA-RISC,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FW5-0501,HP,,Pa-7000 support chip,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FY3-0001,HP,,PA-7000 ICMUX/DCMUX,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
7450-1300,1FY8-0002,HP,,PA-7000 CPU,http://www.chipdb.org/img-hp-pa-risc-7000-6710.htm,,,
,1FZ2-0003,HP,,PA-7000 SPI,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
5181-249?,1FZ3-0001,HP,,PA-7000 PXC-S,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,http://www.goldtraces.com/familyHPpaRisc.htm,,
,1FZ3-0001,HP,,PA-RISC NS-2 chipset (?),http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
5181-7326,1FZ3-0005,HP,,PA-7000 PXC-S CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,http://www.goldtraces.com/familyHPpaRisc.htm,,
,1FZ3-0006,HP,,PA-7000 32MHz CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FZ3-0007,HP,,PA-7000 CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FZ4-0001,HP,,PA-RISC NS-2 chipset (?),http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1FZ6-0001,HP,,PA-7000 FPU,http://www.goldtraces.com/pics/HP/HP-PA-RISC7000fpuAndCache.jpg,,,
,1FZ6-0006,HP,,PA-7000 MIOC? or FPU?,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,http://www.goldtraces.com/pics/HP/HP-PA-RISC7000afpuAndCache.jpg,,
,1MM6-0002,HP,,PA-RISC MMU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1MM6-0004,HP,,PA-RISC MMU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1QK9-0009,HP,,PA-8200 (PCX-U+) 240 MHZ (5.1) CPU,http://www.chipdb.org/cat-8200-1217.htm,http://partsurfer.hp.com/Search.aspx?SearchText=1QK9-0009,http://www.maximummidrange.com/A4837-69101.html,
,1QM1-0003,HP,,PA-8500 (PCX-W) 367 MHz CPU,http://www.chipdb.org/img-hp-pa-risc-8500-3783.htm,http://partsurfer.hp.com/Search.aspx?SearchText=1QM1-0003,http://www.openpa.net/systems/hp-visualize_c200_c240_c360.html,
,1QM1-0010,HP,,PA-8500 CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1QM1-0012,HP,,PA-8500 CPU,http://commons.wikimedia.org/wiki/File:KL_HP_PA_RISC_8500.jpg,,,
,1QM1-0014,HP,,PA-8500 CPU,http://commons.wikimedia.org/wiki/File:KL_HP_PA_RISC_8500.jpg,,,
,1ST9-0004,HP,,PA-8000 180MHz CPU,http://www.chipdb.org/img-hp-pa8000---180mhz-1st9-0004-rev-3.1-2574.htm,http://commons.wikimedia.org/wiki/File:KL_Hewlett_Packard_PA8000.jpg,,
,1TZ8-0005,HP,,PA-RISC MMU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1TZ8-0008,HP,,PA-RISC MMU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,1XX6-0001,HP,,PA-7200 MMU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,3AA1-1005,HP,,PA-8600 500MHz CPU,http://www.ebay.com/itm/HP-PA-RISC-8600-500MHz-Processor-CPU-3AA1-1005-B2600-Server-/330747504580?pt=CPUs&hash=item4d021667c4,,,
,3AA1-1006,HP,,PA-8600 (PCX-W+) 550MHz CPU,http://www.chipdb.org/img-hp-pa-8600-pcx-wplus-550mhz-3aa1-1006-6245.htm,http://www.silirium.ru/hp-pa-risc.html,,
,3AA1-1105,HP,,PA-8600 500MHz CPU,http://www.cpu-world.com/info/HP-parts.html,,,
,3AA1-1106,HP,,PA-8600 CPU,http://www.chipdb.org/img-hp-pa-risc-8600-3aa1-1106-3592.htm,http://commons.wikimedia.org/wiki/File:KL_HP_PA_RISC_8600.jpg,,
,3AA2-2205,HP,,PA-8700+ 875MHz CPU,http://www.chipdb.org/img-hp-pa-8700plus---875mhz-3aa2-2205-2575.htm,,,
,3AA2-2206,HP,,PA-8700 CPU,http://www.chipdb.org/img-hp-pa-risc-8700-3aa2-2206-6973.htm,,,
,3AA2-2305,HP,,PA-8700 CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
,3AA2-2306,HP,,PA-8700 750MHz CPU,http://commons.wikimedia.org/wiki/File:KL_HP_PA_RISC_8700.jpg,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,
,3AA4-3125,HP,,PA-8800 CPU,http://gecko54000.free.fr/?documentations=IDENTIFICATION_HP,,,
1802-2620,,Intel,D8088,8080 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-1221,,Intel,C8008-1 / D8008-1,8008 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-1480,,Motorola,MC6800L,6800 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-1613,,Intel,D8080A,8080 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-1691,,,,Nanoprocessor used in HP 98034A HP-IB Interface,http://www.bitsavers.org/pdf/hp/98xx/98034-90000_hpibIntf_May79.pdf,,,
1820-1692,,,,Nanoprocessor used in HP 98034A HP-IB Interface,http://www.bitsavers.org/pdf/hp/98xx/98034-90000_hpibIntf_May79.pdf,http://d116.com/hp/98034/,,
1820-1701,,Intel,8080A (8080A-2) / AMD AM9080A-2DC,8080 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
