Manufacturer,Family,S-Spec number,Speed,Bus speed,L2 cache size,Package type,Part number,Alternative part number 1,Alternative part number 2,Alternative part number 3,Alternative part number 4,Alternative part number 5,Alternative part number 6,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5
Intel,8080,S2292,2MHz,,,Plastic DIP,P8080A,,,,,,,http://www.cpu-world.com/sspec/S2/S2292.html,,,,
Intel,8085,S2629,3MHz,,,Plastic DIP,P8085A,,,,,,,http://www.cpu-world.com/sspec/S2/S2629.html,,,,
Intel,8085,S2630,3MHz,,,Side-brazed CerDIP,C8085A,,,,,,,http://www.cpu-world.com/sspec/S2/S2630.html,,,,
Intel,8085,S2631, ,,,Side-brazed CerDIP/PDIP,C8085,P8085,,,,,,http://www.cpu-world.com/sspec/S2/S2631.html,,,,
Intel,8085,S2632, ,,,Plastic DIP,P8085,,,,,,,http://www.cpu-world.com/sspec/S2/S2632.html,,,,
Intel,8085,S2812,3MHz,,,Plastic DIP,P8085AH,,,,,,,http://www.cpu-world.com/sspec/S2/S2812.html,,,,
Intel,8085,S4069, ,,,Plastic DIP,P8085AH,,,,,,,http://www.cpu-world.com/sspec/S4/S4069.html,,,,
Intel,8085,S4380, ,,,Side-brazed CerDIP,C8085A-2,C8085AH-2,,,,,,http://www.cpu-world.com/sspec/S4/S4380.html,,,,
Intel,8085,S4409, ,,,Plastic DIP,P8085A,,,,,,,http://www.cpu-world.com/sspec/S4/S4409.html,,,,
Intel,8085,S4740, ,,,CerDIP,QM8085AD1,QM8085AHD1,,,,,,http://www.cpu-world.com/sspec/S4/S4740.html,,,,
Intel,8085,S4741, ,,,Plastic DIP,QM8085AH-2P5,,,,,,,http://www.cpu-world.com/sspec/S4/S4741.html,,,,
Intel,8085,S4744, ,,,CerDIP,QM8085AH-1D1,,,,,,,http://www.cpu-world.com/sspec/S4/S4744.html,,,,
Intel,8085,S4785, ,,,CerDIP,QM8086D1,,,,,,,http://www.cpu-world.com/sspec/S4/S4785.html,,,,
Intel,8086,S2864,5MHz,,,Side-brazed CerDIP,C8086,,,,,,,http://www.cpu-world.com/sspec/S2/S2864.html,,,,
Intel,8086,S2865,4MHz,,,Side-brazed CerDIP/CerDIP,C8086-4,D8086-4,,,,,,http://www.cpu-world.com/sspec/S2/S2865.html,,,,
Intel,8086,S2866,4MHz,,,Side-brazed CerDIP,C8086-4,,,,,,,http://www.cpu-world.com/sspec/S2/S2866.html,,,,
Intel,8086,S2956,4MHz,,,CerDIP,D8086-4,,,,,,,http://www.cpu-world.com/sspec/S2/S2956.html,,,,
Intel,8086,S4164, ,,,CerDIP,D8086-2,,,,,,,http://www.cpu-world.com/sspec/S4/S4164.html,,,,
Intel,8086,SX011,8MHz,,,CerDIP,D8086-2,,,,,,,http://www.cpu-world.com/sspec/SX/SX011.html,,,,
Intel,8086,SX020,5MHz,,,PLCC/Plastic DIP,N80C86AL,P80C86AL,,,,,,http://www.cpu-world.com/sspec/SX/SX020.html,,,,
