Family,Chip Type,Soviet Manufacturer,Soviet Part Number,Western Manufacturer,Western Part Number,Blank,Blank,Description,Comments,Blank,Blank,Reference 1,Reference 2,Reference 3,Reference 4
Z80,CPU,MME,80-CPU ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
Z80,CPU,MME,80A-CPU ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
Z80,CPU,MME,U880D,,,,,,,,,http://www.cpushack.com/east-german-cpus.html [Accessed 1 Jan 2013],,,
Z80,CPU,MME,U880D-00B-P9 ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
Z80,CPU,MME,UA880D,,,,,,,,,http://www.cpushack.com/east-german-cpus.html [Accessed 1 Jan 2013],,,
Z80,CPU,MME,UA880D-A6 ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
Z80,CPU,MME,UB880D,,,,,,,,,http://www.cpushack.com/east-german-cpus.html [Accessed 1 Jan 2013],,,
Z80,CPU,MME,UB880D-A9 ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
Z80,CPU,MME,VB880D,,,,,,,,,http://www.cpushack.com/east-german-cpus.html [Accessed 1 Jan 2013],,,
Z8000,CPU,MME,UA8001C ,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8000,CPU,MME,UB8001C ,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8000,CPU,MME,UA8002C ,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8000,CPU,MME,UB8002D,,,,,,,,,http://www.cpushack.com/east-german-cpus.html [Accessed 1 Jan 2013],,,
Z8000,CPU,MME,UB8002D ,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UB8810D,,,,,,,,,http://www.cpushack.com/east-german-cpus.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UB8810D,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UB8811D,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UC8810D,,,,,,,,,http://www.cpushack.com/east-german-cpus.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UC8810D,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UC8811D,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UD8810D ,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UD8810D-005-W6 ,,,,,,,,,http://www.cpushack.com/chippics/MME/ [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UD8811D ,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
Z8,MCU,MME,UB8820D,,,,,,,,,http://www.cpu-world.com/info/exUSSR-chips.html [Accessed 1 Jan 2013],,,
