Generation,Manufacturer,Name,Model,Proceed,Succeed,Location,Product Line,Family,Type,Date,Num Sold,Price,Clone,CPU Family,,Bits,CPU,CPU part label,Speed,Chip 2,Chip 3,Chip 4,Chip 5,Game medium,Game Count,RAM,Graphics,Ram other,Reference 1,Ref 1 Date,Reference 2,Ref 2 Date,Reference 3,Ref 3 Date,Reference 4,Ref 4 Date,Reference 5,Ref 5 Date,Photo 1 link,Photo 1 Date,Photo 2 link,Photo 2 Date,Photo 3 link,Photo 3 Date,Photo 4 link,Photo 4 Date,Notes
,Academy,Apollo 80,,,,,,,Console,,,,Clone: Studio II (Rebrand: Conic M-1200),,,,,,,,,,,Built-in + Cartridge,16 (5 Built-in),,,,,,,,,,,,,,,,,,,,,,
,Acetronic,Acetronic Color TV Game,,,,,,,Console,,,,Pong,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Acetronic,MPU-1000,,,,UK,,1292 APVS,Console,1979,,,Clone: 1292 APVS,,,,,,,,,,,,,,,,https://dustyoldgames.blogspot.com/2013/08/acetronic-mpu-2000-system-games-review.html,01/10/21,http://www.videogameconsolelibrary.com/pg70-1292_vc4000.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Acetronic,MPU-2000,,,,UK,,1292 APVS,Console,1979,,,Clone: 1292 APVS,,,,,,,,,,,,,,,,https://dustyoldgames.blogspot.com/2013/08/acetronic-mpu-2000-system-games-review.html,01/10/21,http://www.videogameconsolelibrary.com/pg70-1292_vc4000.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Adman Grandstand,"Video Entertainment Computer II, VEC II",,Video Entertainment Computer,,UK,,Channel F,Console,1979,,,Clone: Channel F System II,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://en.wikipedia.org/wiki/Grandstand_%28game_manufacturer%29,01/10/21,http://videogameconsolelibrary.com/pg70-fairchild.htm#page=models,01/10/21,,,,,,,,,,,,,
,Adman Grandstand,"Video Entertainment Computer, VEC",,,Video Entertainment Computer II,UK,,Channel F,Console,1976,,,Clone: Channel F,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://en.wikipedia.org/wiki/Grandstand_%28game_manufacturer%29,01/10/21,http://videogameconsolelibrary.com/pg70-fairchild.htm#page=models,01/10/21,,,,,,,,,,,,,
,Advance Bright,Advance Bright TV Arcade,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,Advance Bright Limited,Air Blaster (14-in-1),,,,,,,,,,,Clone: Famicom,,,,,,,,,,,,14,,,,https://bootleggames.fandom.com/wiki/Famiclone,01/10/21,,,,,,,,,,,,,,,,,
,Advance Bright Limited,Arcade TV Game Set,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,Built-in,95?,,,,http://ultimateconsoledatabase.com/famiclones/advance_arcade.htm,01/10/21,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/advance_arcade.htm,01/10/21,,,,,,,
,Advance Bright Limited,Console TV,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
